tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
arnold_cat-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-580398d0f4fc,OK,30.167,3,5,32,6000,1,111,2000,0.05,-0.006005365148628189,delta_ib.mean,-16.147414668505448,-0.0033173339092054323,-0.002688031239422757
arnold_cat-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-d3a9ac1170ed,OK,28.649,3,5,32,9000,1,111,2000,0.05,-0.006005365148628189,delta_ib.mean,-16.147414668505448,-0.0032162884577157033,-0.002789076690912486
arnold_cat-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-095601845855,OK,29.027,4,5,32,6000,1,111,2000,0.05,0.0,delta_ib.mean,1.0,-0.0020334295555557024,0.0020334295555557024
arnold_cat-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-3e573131d44e,OK,29.568,4,5,32,9000,1,111,2000,0.05,0.0,delta_ib.mean,1.0,-0.0004597156018551141,0.0004597156018551141
arnold_cat-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-c4012f253bbf,OK,30.197,3,5,32,6000,1,333,2000,0.05,0.004194876663960136,delta_ib.mean,12.977837793359257,0.0005855798770581339,0.0036092967869020024
arnold_cat-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-5a9b5f674ff4,OK,29.424,3,5,32,9000,1,333,2000,0.05,0.004194876663960136,delta_ib.mean,12.977837793359257,0.0004918551522639697,0.0037030215116961663
arnold_cat-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-a3e6bfaae9be,OK,32.728,4,5,32,6000,1,333,2000,0.05,0.0,delta_ib.mean,1.0,-0.0006861411619401717,0.0006861411619401717
arnold_cat-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-e920f52b44dc,OK,33.364,4,5,32,9000,1,333,2000,0.05,0.0,delta_ib.mean,1.0,-0.0022602911117080397,0.0022602911117080397
arnold_cat-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-6de23eb742dc,OK,29.811,3,5,32,6000,2,111,2000,0.05,-0.003537942827813066,delta_ib.mean,-9.102062279399203,-0.003311066486789451,-0.00022687634102361515
arnold_cat-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-2449f4a713be,OK,28.794,3,5,32,9000,2,111,2000,0.05,-0.003537942827813066,delta_ib.mean,-9.102062279399203,-0.0032246645168917468,-0.00031327831092131924
arnold_cat-n4-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-8ed8f035b998,OK,29.621,4,5,32,6000,2,111,2000,0.05,0.0,delta_ib.mean,1.0,-0.0020515562824566826,0.0020515562824566826
arnold_cat-n4-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-05dc50c92cad,OK,30.356,4,5,32,9000,2,111,2000,0.05,0.0,delta_ib.mean,1.0,-0.0004770044011903426,0.0004770044011903426
arnold_cat-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-4430e58c2d48,OK,29.115,3,5,32,6000,2,333,2000,0.05,-0.00015394257812770907,delta_ib.mean,0.5604401802448903,0.0005792281313042199,-0.000733170709431929
