tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
hamiltonian-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-a7f52c1c9551,OK,30.804,3,5,32,6000,1,111,2000,0.05,0.003564597064290469,delta_ib.mean,0.004996646159129571,0.06340412791214534,-0.059839530847854865
hamiltonian-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-24d765d7c996,OK,30.845,3,5,32,9000,1,111,2000,0.05,0.003564597064290469,delta_ib.mean,0.004996646159129571,0.0545871165858485,-0.05102251952155803
hamiltonian-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-ab60cb622f69,OK,30.852,4,5,32,6000,1,111,2000,0.05,-0.005023395899047849,delta_ib.mean,-1.0324062339040068,-0.011893848318195337,0.0068704524191474875
hamiltonian-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-1ac8a3cf2320,OK,30.828,4,5,32,9000,1,111,2000,0.05,-0.005023395899047849,delta_ib.mean,-1.0324062339040068,-0.0034930858097363127,-0.0015303100893115365
hamiltonian-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-c94eb36e9980,OK,29.765,3,5,32,6000,1,333,2000,0.05,0.008804838966006843,delta_ib.mean,0.63800159437871,0.0630404777211194,-0.05423563875511256
hamiltonian-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-6299104ad3ed,OK,30.686,3,5,32,9000,1,333,2000,0.05,0.008804838966006843,delta_ib.mean,0.63800159437871,0.05505629335959659,-0.04625145439358974
hamiltonian-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-8b04e98502c3,OK,29.591,4,5,32,6000,1,333,2000,0.05,-0.02566594632915036,delta_ib.mean,-3.5259622206700456,-0.011527260530254123,-0.014138685798896239
hamiltonian-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-eec23c837df8,OK,30.703,4,5,32,9000,1,333,2000,0.05,-0.02566594632915036,delta_ib.mean,-3.5259622206700456,-0.003959967313949916,-0.021705979015200445
hamiltonian-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-f147d73c9be5,OK,28.674,3,5,32,6000,2,111,2000,0.05,0.0034818690077570522,delta_ib.mean,-0.004996646159129571,0.06267096670734235,-0.059189097699585295
hamiltonian-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-7d15ee44134c,OK,30.381,3,5,32,9000,2,111,2000,0.05,0.0034818690077570522,delta_ib.mean,-0.004996646159129571,0.05552086129145328,-0.05203899228369623
