tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
henon-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-e4986daf1d38,OK,29.187,3,5,32,6000,1,111,2000,0.05,-0.0018241561850763665,delta_ib.mean,-1.052520829246153,0.01377184824157117,-0.015596004426647537
henon-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-ca0d1827e149,OK,29.813,3,5,32,9000,1,111,2000,0.05,-0.0018241561850763665,delta_ib.mean,-1.052520829246153,0.011548578372806189,-0.013372734557882555
henon-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-647e7995b161,OK,28.478,4,5,32,6000,1,111,2000,0.05,0.0,delta_ib.mean,0.0,0.003669914695805653,-0.003669914695805653
henon-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-00b6512270d8,OK,29.286,4,5,32,9000,1,111,2000,0.05,0.0,delta_ib.mean,0.0,-0.005305344371981185,0.005305344371981185
henon-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-3a657155c776,OK,29.171,3,5,32,6000,1,333,2000,0.05,0.00035220309317250464,delta_ib.mean,0.2032178465428198,-0.010183881979897657,0.010536085073070162
henon-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-e8269557fa06,OK,29.052,3,5,32,9000,1,333,2000,0.05,0.00035220309317250464,delta_ib.mean,0.2032178465428198,-0.008142850188468916,0.008495053281641421
henon-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-4f7a0c3279f0,OK,29.812,4,5,32,6000,1,333,2000,0.05,0.0,delta_ib.mean,0.0,-0.0003632427400590563,0.0003632427400590563
henon-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-2bd6c4c8928e,OK,30.39,4,5,32,9000,1,333,2000,0.05,0.0,delta_ib.mean,0.0,0.008653458441726151,-0.008653458441726151
henon-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-34517c70dcec,OK,28.467,3,5,32,6000,2,111,2000,0.05,-0.003929872682241543,delta_ib.mean,-2.2674992899094937,0.013689957028052408,-0.017619829710293952
henon-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-697405656db8,OK,28.781,3,5,32,9000,2,111,2000,0.05,-0.003929872682241543,delta_ib.mean,-2.2674992899094937,0.0118320047750385,-0.015761877457280044
henon-n4-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-9e87f4589674,OK,28.001,4,5,32,6000,2,111,2000,0.05,0.0,delta_ib.mean,0.0,0.004154660872666328,-0.004154660872666328
henon-n4-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-f4cdea4d840b,OK,28.031,4,5,32,9000,2,111,2000,0.05,0.0,delta_ib.mean,0.0,-0.0048997650860656446,0.0048997650860656446
henon-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-ea220f877845,OK,29.438,3,5,32,6000,2,333,2000,0.05,0.00010564144245534668,delta_ib.mean,0.06095411101610599,-0.010092148241433372,0.010197789683888719
henon-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-8cd2bc1f7ea4,OK,29.124,3,5,32,9000,2,333,2000,0.05,0.00010564144245534668,delta_ib.mean,0.06095411101610599,-0.008418041509271886,0.008523682951727233
henon-n4-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-75416dba58da,OK,28.183,4,5,32,6000,2,333,2000,0.05,0.0,delta_ib.mean,0.0,-0.000846126309946702,0.000846126309946702
henon-n4-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-4698ab78b1a6,OK,28.563,4,5,32,9000,2,333,2000,0.05,0.0,delta_ib.mean,0.0,0.008242291535796082,-0.008242291535796082
henon-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-6448c7206e8d,OK,40.859,3,5,64,6000,1,111,2000,0.05,0.016970197998951466,delta_ib.mean,9.79164340008531,0.013588418583931278,0.003381779415020188
henon-n3-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-bffad111a1f1,OK,40.578,3,5,64,9000,1,111,2000,0.05,0.016970197998951466,delta_ib.mean,9.79164340008531,0.012098847560625375,0.004871350438326091
henon-n4-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-33c72b68abef,OK,39.593,4,5,64,6000,1,111,2000,0.05,-0.0016431984915542715,delta_ib.mean,-0.9481099552198298,0.004635482756011805,-0.0062786812475660765
henon-n4-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-30f99105898e,OK,40.531,4,5,64,9000,1,111,2000,0.05,-0.0016431984915542715,delta_ib.mean,-0.9481099552198298,-0.004483180072888861,0.00283998158133459
henon-n3-k5-cl64-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-f213c87d4e83,OK,39.234,3,5,64,6000,1,333,2000,0.05,0.0011644238917238965,delta_ib.mean,0.6718615489933831,-0.009980846953153627,0.011145270844877524
henon-n3-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-00d7bc9f174c,OK,41.249,3,5,64,9000,1,333,2000,0.05,0.0011644238917238965,delta_ib.mean,0.6718615489933831,-0.008676425747726578,0.009840849639450474
henon-n4-k5-cl64-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-8205fe2d1524,OK,42.164,4,5,64,6000,1,333,2000,0.05,0.0,delta_ib.mean,0.0,-0.001324688277157396,0.001324688277157396
henon-n4-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-5f88dce8fd11,OK,42.493,4,5,64,9000,1,333,2000,0.05,0.0,delta_ib.mean,0.0,0.007820460161876486,-0.007820460161876486
