tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
ising1d-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-a21184689c14,OK,172.98,3,5,32,6000,1,111,2000,0.05,0.001175987811381486,delta_ib.mean,-0.9274548473263371,0.0048505393071575096,-0.0036745514957760234
ising1d-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-55b6c3bcfa97,OK,197.087,3,5,32,9000,1,111,2000,0.05,0.001175987811381486,delta_ib.mean,-0.9274548473263371,0.0041910632541492495,-0.0030150754427677633
ising1d-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-79de54ffaa84,OK,170.503,4,5,32,6000,1,111,2000,0.05,0.0007902006172799194,delta_ib.mean,-1.010394230094489,0.003564154709354073,-0.0027739540920741533
ising1d-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-6d02c0c0dcf3,OK,175.035,4,5,32,9000,1,111,2000,0.05,0.0007902006172799194,delta_ib.mean,-1.010394230094489,0.002972924770381403,-0.0021827241531014833
ising1d-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-815950b2ccd3,OK,178.863,3,5,32,6000,1,333,2000,0.05,0.001827492340278012,delta_ib.mean,-0.7873895877130086,0.0024203074761194147,-0.0005928151358414028
ising1d-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-ca4ff36da14f,OK,179.492,3,5,32,9000,1,333,2000,0.05,0.001827492340278012,delta_ib.mean,-0.7873895877130086,0.00190904524626773,-8.155290598971807e-05
ising1d-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-0dab0f1c2d25,OK,172.478,4,5,32,6000,1,333,2000,0.05,0.0014919206852468689,delta_ib.mean,-0.8595332626931658,0.0014416752717998638,5.0245413447005125e-05
ising1d-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-725fb3bbede7,OK,171.738,4,5,32,9000,1,333,2000,0.05,0.0014919206852468689,delta_ib.mean,-0.8595332626931658,0.0010205169238942206,0.00047140376135264826
ising1d-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-4e5cc09c342a,OK,171.819,3,5,32,6000,2,111,2000,0.05,0.001064752423212751,delta_ib.mean,-0.9513690533387372,0.0006476602438179515,0.00041709217939479956
ising1d-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-c7fa930f1051,OK,191.447,3,5,32,9000,2,111,2000,0.05,0.001064752423212751,delta_ib.mean,-0.9513690533387372,0.0003249555708839842,0.0007397968523287668
