tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
ising2d_fixed-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-575a3f1f59fe,OK,29.279,3,5,32,6000,1,111,2000,0.05,-2.8391917704334467e-05,delta_ib.mean,0.25525723526174504,0.10942669280433542,-0.10945508472203976
ising2d_fixed-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-3dec7e47d9e4,OK,29.676,3,5,32,9000,1,111,2000,0.05,-2.8391917704334467e-05,delta_ib.mean,0.25525723526174504,0.07621103513243943,-0.07623942705014376
ising2d_fixed-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-ab644d388824,OK,29.074,4,5,32,6000,1,111,2000,0.05,-0.00035021985907054585,delta_ib.mean,-0.25525723526174504,-0.01359983723767054,0.013249617378599993
ising2d_fixed-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-e90bc52ecdee,OK,29.57,4,5,32,9000,1,111,2000,0.05,-0.00035021985907054585,delta_ib.mean,-0.25525723526174504,0.018210028982382737,-0.018560248841453283
ising2d_fixed-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-6702dcc6fbaf,OK,29.129,3,5,32,6000,1,333,2000,0.05,0.0027539216887131177,delta_ib.mean,4.668830996385882,0.10851881476582788,-0.10576489307711476
ising2d_fixed-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-23eb24d00aa9,OK,29.198,3,5,32,9000,1,333,2000,0.05,0.0027539216887131177,delta_ib.mean,4.668830996385882,0.07812253373574447,-0.07536861204703135
ising2d_fixed-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-f1310f755a6e,OK,29.183,4,5,32,6000,1,333,2000,0.05,-0.0005849625007211561,delta_ib.mean,-0.6276286176308726,-0.01266203889746878,0.012077076396747623
ising2d_fixed-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-414856d672d6,OK,29.504,4,5,32,9000,1,333,2000,0.05,-0.0005849625007211561,delta_ib.mean,-0.6276286176308726,0.016313209547149633,-0.01689817204787079
ising2d_fixed-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-9898bab74e49,OK,29.799,3,5,32,6000,2,111,2000,0.05,0.0008941699465894553,delta_ib.mean,1.7187137010854303,0.10755132589398592,-0.10665715594739646
ising2d_fixed-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-8f128b18eb18,OK,29.249,3,5,32,9000,2,111,2000,0.05,0.0008941699465894553,delta_ib.mean,1.7187137010854303,0.08000420926300858,-0.07911003931641912
ising2d_fixed-n4-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-bfd6baf310c8,OK,29.258,4,5,32,6000,2,111,2000,0.05,-0.00035021985907054585,delta_ib.mean,-0.25525723526174504,-0.011665096538520318,0.011314876679449772
ising2d_fixed-n4-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-be6a5be63a69,OK,29.248,4,5,32,9000,2,111,2000,0.05,-0.00035021985907054585,delta_ib.mean,-0.25525723526174504,0.014447138957341253,-0.0147973588164118
ising2d_fixed-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-d8cf8ab111e7,OK,29.419,3,5,32,6000,2,333,2000,0.05,0.0008947979646013087,delta_ib.mean,1.7197099237298643,0.1065251743088663,-0.10563037634426499
ising2d_fixed-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-656fdb8cec40,OK,29.035,3,5,32,9000,2,333,2000,0.05,0.0008947979646013087,delta_ib.mean,1.7197099237298643,0.0818542177092414,-0.08095941974464009
ising2d_fixed-n4-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-01c688533a00,OK,29.54,4,5,32,6000,2,333,2000,0.05,-0.0005849625007211561,delta_ib.mean,-0.6276286176308726,-0.010609987144719946,0.010025024643998789
ising2d_fixed-n4-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-8b1a57a53ede,OK,28.882,4,5,32,9000,2,333,2000,0.05,-0.0005849625007211561,delta_ib.mean,-0.6276286176308726,0.012613645925416646,-0.013198608426137803
ising2d_fixed-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-6587edf568bb,OK,40.597,3,5,64,6000,1,111,2000,0.05,0.0001931812735527535,delta_ib.mean,0.6067379672846244,0.1054413656188307,-0.10524818434527795
ising2d_fixed-n3-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-bd7019fc8414,OK,41.349,3,5,64,9000,1,111,2000,0.05,0.0001931812735527535,delta_ib.mean,0.6067379672846244,0.0836707461025685,-0.08347756482901575
ising2d_fixed-n4-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-8a461c8219fa,OK,40.805,4,5,64,6000,1,111,2000,0.05,-0.00035021985907054585,delta_ib.mean,-0.25525723526174504,-0.00949774470251185,0.009147524843441304
ising2d_fixed-n4-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-1cf9b339f4f0,OK,42.154,4,5,64,9000,1,111,2000,0.05,-0.00035021985907054585,delta_ib.mean,-0.25525723526174504,0.01081452723846884,-0.011164747097539385
ising2d_fixed-n3-k5-cl64-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-23e99c71c084,OK,41.07,3,5,64,6000,1,333,2000,0.05,0.0027539216887131177,delta_ib.mean,4.668830996385882,0.10430096193506891,-0.10154704024635579
ising2d_fixed-n3-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-3f034b0454dc,OK,40.817,3,5,64,9000,1,333,2000,0.05,0.0027539216887131177,delta_ib.mean,4.668830996385882,0.0854520142809091,-0.08269809259219597
ising2d_fixed-n4-k5-cl64-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-d17f65807a23,OK,41.179,4,5,64,6000,1,333,2000,0.05,-0.0005849625007211561,delta_ib.mean,-0.6276286176308726,-0.008329459187603486,0.00774449668688233
ising2d_fixed-n4-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-c69e14c1e0ca,OK,40.554,4,5,64,9000,1,333,2000,0.05,-0.0005849625007211561,delta_ib.mean,-0.6276286176308726,0.00905154599740949,-0.009636508498130646
ising2d_fixed-n3-k5-cl64-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-6c8261b72f18,OK,40.735,3,5,64,6000,2,111,2000,0.05,0.003172238815110629,delta_ib.mean,5.332405903484221,0.10310508083075098,-0.09993284201564036
ising2d_fixed-n3-k5-cl64-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-d11c566952f6,OK,40.571,3,5,64,9000,2,111,2000,0.05,0.003172238815110629,delta_ib.mean,5.332405903484221,0.08719627663649848,-0.08402403782138786
ising2d_fixed-n4-k5-cl64-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-2582bdc69e3e,OK,40.27,4,5,64,6000,2,111,2000,0.05,-0.00035021985907054585,delta_ib.mean,-0.25525723526174504,-0.007106275496810796,0.00675605563774025
ising2d_fixed-n4-k5-cl64-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-3c913e93c9ed,OK,41.415,4,5,64,9000,2,111,2000,0.05,-0.00035021985907054585,delta_ib.mean,-0.25525723526174504,0.007326429889163766,-0.007676649748234312
ising2d_fixed-n3-k5-cl64-ctx6000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-82894fa41302,OK,40.993,3,5,64,6000,2,333,2000,0.05,0.0028366819957213415,delta_ib.mean,4.800113364639258,0.10185489424582747,-0.09901821225010612
ising2d_fixed-n3-k5-cl64-ctx9000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-f22e9a9014d4,OK,40.557,3,5,64,9000,2,333,2000,0.05,0.0028366819957213415,delta_ib.mean,4.800113364639258,0.08890182382655074,-0.08606514183082939
