tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
lorenz63-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-25afb12ad740,OK,30.529,3,5,32,6000,1,111,2000,0.05,-0.009431934930793263,delta_ib.mean,-1.82952026101534,-0.00029338227547391973,-0.009138552655319343
lorenz63-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-a9a81a663346,OK,28.715,3,5,32,9000,1,111,2000,0.05,-0.009431934930793263,delta_ib.mean,-1.82952026101534,-0.0015369607367109808,-0.007894974194082282
lorenz63-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-0b9d55be8dc0,OK,29.669,4,5,32,6000,1,111,2000,0.05,-0.02343256060425096,delta_ib.mean,-4.200193647753029,-0.0026875999582784693,-0.02074496064597249
lorenz63-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-a002cabc9eca,OK,30.446,4,5,32,9000,1,111,2000,0.05,-0.02343256060425096,delta_ib.mean,-4.200193647753029,-0.003739589775653588,-0.019692970828597372
lorenz63-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-a6c9f86a0d81,OK,29.92,3,5,32,6000,1,333,2000,0.05,0.0013010337104570344,delta_ib.mean,-0.012146972710123513,-0.004687709582045847,0.005988743292502882
lorenz63-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-3a4f1832b005,OK,29.146,3,5,32,9000,1,333,2000,0.05,0.0013010337104570344,delta_ib.mean,-0.012146972710123513,-0.00552725423619085,0.006828287946647885
lorenz63-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-c9dfd785c9bd,OK,29.402,4,5,32,6000,1,333,2000,0.05,-0.00035021985907054585,delta_ib.mean,-0.2917475408087256,-0.0062540574120938455,0.005903837553023299
lorenz63-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-02130e3dbb2a,OK,29.437,4,5,32,9000,1,333,2000,0.05,-0.00035021985907054585,delta_ib.mean,-0.2917475408087256,-0.006864512274847495,0.006514292415776949
lorenz63-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-fe3bda9100eb,OK,28.549,3,5,32,6000,2,111,2000,0.05,0.003731623329205182,delta_ib.mean,0.3994156429643287,-0.007355589379918079,0.011087212709123261
lorenz63-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-7e03ff6599b8,OK,30.083,3,5,32,9000,2,111,2000,0.05,0.003731623329205182,delta_ib.mean,0.3994156429643287,-0.007724851707073037,0.011456475036278219
lorenz63-n4-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-c8bce694aebe,OK,28.641,4,5,32,6000,2,111,2000,0.05,0.0,delta_ib.mean,-0.2324461268026671,-0.007970466754342504,0.007970466754342504
lorenz63-n4-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-146c1caeb3bc,OK,29.721,4,5,32,9000,2,111,2000,0.05,0.0,delta_ib.mean,-0.2324461268026671,-0.00809121563199728,0.00809121563199728
lorenz63-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-9013ac9dbbe8,OK,27.827,3,5,32,6000,2,333,2000,0.05,0.0014445078971008335,delta_ib.mean,0.012146972710123513,-0.008086499111413459,0.009531007008514293
lorenz63-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-594a73d1e762,OK,27.537,3,5,32,9000,2,333,2000,0.05,0.0014445078971008335,delta_ib.mean,0.012146972710123513,-0.007956340598805612,0.009400848495906446
lorenz63-n4-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-857bc18db7e0,OK,28.588,4,5,32,6000,2,333,2000,0.05,-0.00035021985907054585,delta_ib.mean,-0.2917475408087256,-0.007701386019071044,0.007351166160000498
lorenz63-n4-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-fd839c118fac,OK,30.727,4,5,32,9000,2,333,2000,0.05,-0.00035021985907054585,delta_ib.mean,-0.2917475408087256,-0.007322900610321616,0.00697268075125107
lorenz63-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-afa649e9066b,OK,40.846,3,5,64,6000,1,111,2000,0.05,-0.0021707253210592227,delta_ib.mean,-0.6000068964837416,-0.006822762645010524,0.004652037323951301
