tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
rel_aberration-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-5a861f5e1a46,OK,123.861,3,5,32,6000,1,111,2000,0.05,-0.0002515531142790761,delta_ib.mean,-0.686072496322117,-0.0016342327602342915,0.0013826796459552155
rel_aberration-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-0c64bcd7ba31,OK,117.614,3,5,32,9000,1,111,2000,0.05,-0.0002515531142790761,delta_ib.mean,-0.686072496322117,-0.0020693928054964844,0.0018178396912174083
rel_aberration-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-9c2987763d94,OK,119.406,4,5,32,6000,1,111,2000,0.05,-0.0005752537050551441,delta_ib.mean,-1.101756619263049,-0.0023621674989704033,0.0017869137939152593
rel_aberration-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-0124c9806e7f,OK,119.226,4,5,32,9000,1,111,2000,0.05,-0.0005752537050551441,delta_ib.mean,-1.101756619263049,-0.002506945637316348,0.0019316919322612041
rel_aberration-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-8b68bb42f9d5,OK,118.529,3,5,32,6000,1,333,2000,0.05,-0.00285313024419315,delta_ib.mean,-4.026919990356016,-0.0025009524603125154,-0.0003521777838806344
rel_aberration-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-b6a8cef4389d,OK,120.815,3,5,32,9000,1,333,2000,0.05,-0.00285313024419315,delta_ib.mean,-4.026919990356016,-0.0023443028308058975,-0.0005088274133872523
rel_aberration-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-ae765281e134,OK,119.922,4,5,32,6000,1,333,2000,0.05,-0.0017209114198195525,delta_ib.mean,-2.572967163583022,-0.0020399990332966335,0.000319087613477081
rel_aberration-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-88b39c6f18e2,OK,120.758,4,5,32,9000,1,333,2000,0.05,-0.0017209114198195525,delta_ib.mean,-2.572967163583022,-0.0015938732333472833,-0.00012703818647226916
rel_aberration-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-4a4ce9b6582a,OK,121.044,3,5,32,6000,2,111,2000,0.05,0.0006762029648307916,delta_ib.mean,0.5053169636825878,-0.0010144757006170834,0.001690678665447875
rel_aberration-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-711a563c1c33,OK,118.323,3,5,32,9000,2,111,2000,0.05,0.0006762029648307916,delta_ib.mean,0.5053169636825878,-0.0003129109377940694,0.000989113902624861
rel_aberration-n4-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-1597efca63a9,OK,122.922,4,5,32,6000,2,111,2000,0.05,-8.995329726440061e-06,delta_ib.mean,-0.37458891301284436,0.0004973751438872237,-0.0005063704736136638
rel_aberration-n4-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-41f03a61ea27,OK,120.987,4,5,32,9000,2,111,2000,0.05,-8.995329726440061e-06,delta_ib.mean,-0.37458891301284436,0.0014008529236330938,-0.0014098482533595339
rel_aberration-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-b6c2295603d9,OK,121.741,3,5,32,6000,2,333,2000,0.05,0.01037227164995639,delta_ib.mean,12.956643659405929,0.0023802067056267234,0.007992064944329667
rel_aberration-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-b5357f954577,OK,119.572,3,5,32,9000,2,333,2000,0.05,0.01037227164995639,delta_ib.mean,12.956643659405929,0.0034166665847678323,0.006955605065188558
rel_aberration-n4-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-136b9249df81,OK,116.745,4,5,32,6000,2,333,2000,0.05,0.0008894712252944398,delta_ib.mean,0.7791880418583406,0.0044903681832090874,-0.003600896957914648
rel_aberration-n4-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-3567513077a9,OK,120.914,4,5,32,9000,2,333,2000,0.05,0.0008894712252944398,delta_ib.mean,0.7791880418583406,0.005580733363121949,-0.00469126213782751
rel_aberration-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-7615837187e6,OK,127.58,3,5,64,6000,1,111,2000,0.05,-0.0017451450787156716,delta_ib.mean,-2.6040871168081052,0.006666864619102437,-0.008412009697818109
rel_aberration-n3-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-1de67d905381,OK,125.095,3,5,64,9000,1,111,2000,0.05,-0.0017451450787156716,delta_ib.mean,-2.6040871168081052,0.007727945591448841,-0.009473090670164512
rel_aberration-n4-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-6295ee6f545c,OK,127.3,4,5,64,6000,1,111,2000,0.05,-0.0032797741762771314,delta_ib.mean,-4.574800080074754,0.008743640024233178,-0.01202341420051031
rel_aberration-n4-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-7b02ca14e4ef,OK,122.141,4,5,64,9000,1,111,2000,0.05,-0.0032797741762771314,delta_ib.mean,-4.574800080074754,0.00969448152189465,-0.012974255698171781
rel_aberration-n3-k5-cl64-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-7dc555acbc86,OK,127.755,3,5,64,6000,1,333,2000,0.05,0.014481583043659211,delta_ib.mean,18.233666782802796,0.010562246634435252,0.003919336409223959
rel_aberration-n3-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-ce797de7e1f7,OK,127.958,3,5,64,9000,1,333,2000,0.05,0.014481583043659211,delta_ib.mean,18.233666782802796,0.01133030412081503,0.0031512789228441817
rel_aberration-n4-k5-cl64-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-5e8d29b6d861,OK,125.844,4,5,64,6000,1,333,2000,0.05,-0.005812569498009702,delta_ib.mean,-7.82732056321358,0.01198393369670367,-0.017796503194713372
rel_aberration-n4-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-3e2951d4dee8,OK,126.093,4,5,64,9000,1,333,2000,0.05,-0.005812569498009702,delta_ib.mean,-7.82732056321358,0.012510608157595774,-0.018323177655605476
rel_aberration-n3-k5-cl64-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-b3bbd5470816,OK,128.227,3,5,64,6000,2,111,2000,0.05,0.059318804769005355,delta_ib.mean,75.81194040696879,0.012900233470230383,0.04641857129877497
rel_aberration-n3-k5-cl64-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-90fc51987249,OK,127.351,3,5,64,9000,2,111,2000,0.05,0.059318804769005355,delta_ib.mean,75.81194040696879,0.013145342230818103,0.04617346253818725
rel_aberration-n4-k5-cl64-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-3261b812f905,OK,127.361,4,5,64,6000,2,111,2000,0.05,0.000982181726858454,delta_ib.mean,0.898243380736951,0.013241236782332359,-0.012259055055473905
rel_aberration-n4-k5-cl64-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-2db0dbe9e8c4,OK,122.422,4,5,64,9000,2,111,2000,0.05,0.000982181726858454,delta_ib.mean,0.898243380736951,0.013186079247935745,-0.01220389752107729
rel_aberration-n3-k5-cl64-ctx6000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-de9f2b35de5c,OK,128.809,3,5,64,6000,2,333,2000,0.05,0.04291907757406796,delta_ib.mean,54.75202760559211,0.012980926754996548,0.02993815081907141
rel_aberration-n3-k5-cl64-ctx9000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-ca6f58453d8f,OK,126.621,3,5,64,9000,2,333,2000,0.05,0.04291907757406796,delta_ib.mean,54.75202760559211,0.012629711174606057,0.030289366399461903
rel_aberration-n4-k5-cl64-ctx6000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-3568fc8042ee,OK,126.094,4,5,64,6000,2,333,2000,0.05,0.00010707257948902528,delta_ib.mean,-0.22553886979807758,0.012139163764900887,-0.012032091185411861
rel_aberration-n4-k5-cl64-ctx9000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-88a64eade62e,OK,115.984,4,5,64,9000,2,333,2000,0.05,0.00010707257948902528,delta_ib.mean,-0.22553886979807758,0.011518686162446539,-0.011411613582957513
rel_aberration-n3-k7-cl32-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-1e4446d14b55,OK,118.361,3,7,32,6000,1,111,2000,0.05,0.0001998549634884232,delta_ib.mean,-0.10639122219974655,0.010780170194209994,-0.01058031523072157
rel_aberration-n3-k7-cl32-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-485e1a53e522,OK,119.68,3,7,32,9000,1,111,2000,0.05,0.0001998549634884232,delta_ib.mean,-0.10639122219974655,0.009937769963533384,-0.00973791500004496
rel_aberration-n4-k7-cl32-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-d56105f596af,OK,115.501,4,7,32,6000,1,111,2000,0.05,-0.00038790128745108676,delta_ib.mean,-0.861165691684292,0.009007630578218368,-0.009395531865669455
rel_aberration-n4-k7-cl32-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-6f86761d644a,OK,112.921,4,7,32,9000,1,111,2000,0.05,-0.00038790128745108676,delta_ib.mean,-0.861165691684292,0.008007578719810888,-0.008395480007261974
rel_aberration-n3-k7-cl32-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-cdd524d85805,OK,119.744,3,7,32,6000,1,333,2000,0.05,0.006139238951531371,delta_ib.mean,7.52074229016078,0.006956780984512216,-0.0008175420329808447
rel_aberration-n3-k7-cl32-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-8930c141ccb7,OK,118.498,3,7,32,9000,1,333,2000,0.05,0.006139238951531371,delta_ib.mean,7.52074229016078,0.005875376543818698,0.0002638624077126728
rel_aberration-n4-k7-cl32-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-5344a3133ac7,OK,113.702,4,7,32,6000,1,333,2000,0.05,-0.0016243415671865992,delta_ib.mean,-2.448955791228023,0.004784091165170076,-0.006408432732356676
rel_aberration-n4-k7-cl32-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-f06f6783e839,OK,110.86,4,7,32,9000,1,333,2000,0.05,-0.0016243415671865992,delta_ib.mean,-2.448955791228023,0.003703839990133355,-0.0053281815573199545
rel_aberration-n3-k7-cl32-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-376526314819,OK,119.83,3,7,32,6000,2,111,2000,0.05,0.00042347124987041323,delta_ib.mean,0.18076840162778637,0.002655326683117348,-0.0022318554332469345
rel_aberration-n3-k7-cl32-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-5e9e18879b58,OK,116.945,3,7,32,9000,2,111,2000,0.05,0.00042347124987041323,delta_ib.mean,0.18076840162778637,0.0016586466331744432,-0.0012351753833040298
rel_aberration-n4-k7-cl32-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-aa5001f44e35,OK,115.44,4,7,32,6000,2,111,2000,0.05,0.00033066682721145306,delta_ib.mean,0.06159245281181171,0.0007329018137658379,-0.00040223498655438485
rel_aberration-n4-k7-cl32-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-2d075b736abd,OK,115.235,4,7,32,9000,2,111,2000,0.05,0.00033066682721145306,delta_ib.mean,0.06159245281181171,-0.00010416531806498736,0.0004348321452764404
rel_aberration-n3-k7-cl32-ctx6000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-8158e95f59f8,OK,115.778,3,7,32,6000,2,333,2000,0.05,0.0002953989498454474,delta_ib.mean,0.016302771270827975,-0.0008365118665679006,0.001131910816413348
rel_aberration-n3-k7-cl32-ctx9000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-4294c2f262cc,OK,116.444,3,7,32,9000,2,333,2000,0.05,0.0002953989498454474,delta_ib.mean,0.016302771270827975,-0.0014501019690458172,0.0017455009188912646
