tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
standard_map-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-9aefbaac0928,OK,189.811,3,5,32,6000,1,111,2000,0.05,-0.003443198881070602,delta_ib.mean,-9.986852909870308,-0.0007340297439508141,-0.0027091691371197877
standard_map-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-7424709ae474,OK,178.829,3,5,32,9000,1,111,2000,0.05,-0.003443198881070602,delta_ib.mean,-9.986852909870308,-0.001335780914435405,-0.002107417966635197
standard_map-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-4950dfd34aac,OK,173.438,4,5,32,6000,1,111,2000,0.05,-0.000238143744032366,delta_ib.mean,-0.3028920109279822,-0.0016244908196841588,0.0013863470756517928
standard_map-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-f028a8b89b54,OK,175.097,4,5,32,9000,1,111,2000,0.05,-0.000238143744032366,delta_ib.mean,-0.3028920109279822,-0.001557532871501649,0.001319389127469283
standard_map-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-825e3cf4f87a,OK,175.548,3,5,32,6000,1,333,2000,0.05,-0.0004389574422681324,delta_ib.mean,-0.9096435077163402,-0.0011447930794486738,0.0007058356371805414
standard_map-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-ffae7009a468,OK,176.309,3,5,32,9000,1,333,2000,0.05,-0.0004389574422681324,delta_ib.mean,-0.9096435077163402,-0.00044721043047322084,8.25298820508844e-06
standard_map-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-9f48c94e9c4f,OK,179.727,4,5,32,6000,1,333,2000,0.05,0.0003504842636102659,delta_ib.mean,1.4756267247281927,0.00043222045082209594,-8.173618721183003e-05
standard_map-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-64d0a75ea0d6,OK,178.297,4,5,32,9000,1,333,2000,0.05,0.0003504842636102659,delta_ib.mean,1.4756267247281927,0.0013636559486076842,-0.0010131716849974184
standard_map-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-16b0c80b420a,OK,188.452,3,5,32,6000,2,111,2000,0.05,0.000362693642354894,delta_ib.mean,1.5125169313886049,0.0022095742228881356,-0.0018468805805332417
standard_map-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-dc70e3a7415b,OK,180.626,3,5,32,9000,2,111,2000,0.05,0.000362693642354894,delta_ib.mean,1.5125169313886049,0.002845079628348922,-0.002482385985994028
standard_map-n4-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-458ed386600a,OK,175.86,4,5,32,6000,2,111,2000,0.05,-0.0002501083485607702,delta_ib.mean,-0.3390426409391228,0.0031763429380668997,-0.00342645128662767
standard_map-n4-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-0b8acd4c3b6e,OK,178.359,4,5,32,9000,2,111,2000,0.05,-0.0002501083485607702,delta_ib.mean,-0.3390426409391228,0.0031544547643456676,-0.003404563112906438
standard_map-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-aa2a9183eef8,OK,175.084,3,5,32,6000,2,333,2000,0.05,0.0013260269162135698,delta_ib.mean,4.423194394902776,0.0027826467876735034,-0.0014566198714599337
standard_map-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-41a485801ed2,OK,176.428,3,5,32,9000,2,333,2000,0.05,0.0013260269162135698,delta_ib.mean,4.423194394902776,0.0021158146150983327,-0.0007897876988847629
standard_map-n4-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-158a50823c51,OK,178.374,4,5,32,6000,2,333,2000,0.05,-5.623597801475195e-05,delta_ib.mean,0.24673587939168082,0.0012524127156184834,-0.0013086486936332354
standard_map-n4-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-2708c63c9441,OK,177.344,4,5,32,9000,2,333,2000,0.05,-5.623597801475195e-05,delta_ib.mean,0.24673587939168082,0.00031991810525308623,-0.00037615408326783817
standard_map-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-44390f31faaa,OK,196.219,3,5,64,6000,1,111,2000,0.05,-0.0028288831555917274,delta_ib.mean,-8.130719642022616,-0.0005439910032733839,-0.0022848921523183434
standard_map-n3-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-11b35ffd4e1f,OK,188.703,3,5,64,9000,1,111,2000,0.05,-0.0028288831555917274,delta_ib.mean,-8.130719642022616,-0.0012117627070370993,-0.001617120448554628
standard_map-n4-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-013eb173ae2b,OK,187.352,4,5,64,6000,1,111,2000,0.05,-0.0003341974222263581,delta_ib.mean,-0.5931148071229269,-0.0015848038199110757,0.0012506063976847176
standard_map-n4-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-1a76a0a352fb,OK,185.532,4,5,64,9000,1,111,2000,0.05,-0.0003341974222263581,delta_ib.mean,-0.5931148071229269,-0.001608036668392071,0.001273839246165713
standard_map-n3-k5-cl64-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-27196f3cb891,OK,186.344,3,5,64,6000,1,333,2000,0.05,-0.00044039859970162527,delta_ib.mean,-0.9139979140021743,-0.001278031037420602,0.0008376324377189768
standard_map-n3-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-3606afba63f7,OK,182.265,3,5,64,9000,1,333,2000,0.05,-0.00044039859970162527,delta_ib.mean,-0.9139979140021743,-0.0006435106246525293,0.000203112024950904
standard_map-n4-k5-cl64-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-edc8dc0bc325,OK,186.609,4,5,64,6000,1,333,2000,0.05,0.000733288010095754,delta_ib.mean,2.6322547246944445,0.00020184077228368145,0.0005314472378120725
