cmd,duration_s,model,returncode,run_id,status,tag
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ising1d\ising1d_train.txt --holdout C:\omega\omega\corpora\ising1d\ising1d_tail.txt --mode words --label-mode ib --control block --control_block 2 --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 6000 --stride 1 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\ising1d\ising1d-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-a21184689c14\ising1d-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-a21184689c14.json,172.98,ising1d,0,a21184689c14,OK,ising1d-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-a21184689c14
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ising1d\ising1d_train.txt --holdout C:\omega\omega\corpora\ising1d\ising1d_tail.txt --mode words --label-mode ib --control block --control_block 2 --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 9000 --stride 1 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\ising1d\ising1d-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-55b6c3bcfa97\ising1d-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-55b6c3bcfa97.json,197.087,ising1d,0,55b6c3bcfa97,OK,ising1d-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-55b6c3bcfa97
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ising1d\ising1d_train.txt --holdout C:\omega\omega\corpora\ising1d\ising1d_tail.txt --mode words --label-mode ib --control block --control_block 2 --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 6000 --stride 1 --seed 333 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\ising1d\ising1d-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-815950b2ccd3\ising1d-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-815950b2ccd3.json,178.863,ising1d,0,815950b2ccd3,OK,ising1d-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-815950b2ccd3
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ising1d\ising1d_train.txt --holdout C:\omega\omega\corpora\ising1d\ising1d_tail.txt --mode words --label-mode ib --control block --control_block 2 --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 9000 --stride 1 --seed 333 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\ising1d\ising1d-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-ca4ff36da14f\ising1d-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-ca4ff36da14f.json,179.492,ising1d,0,ca4ff36da14f,OK,ising1d-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tblock_B2_shuffle-ca4ff36da14f
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ising1d\ising1d_train.txt --holdout C:\omega\omega\corpora\ising1d\ising1d_tail.txt --mode words --label-mode ib --control block --control_block 2 --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 6000 --stride 2 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\ising1d\ising1d-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-4e5cc09c342a\ising1d-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-4e5cc09c342a.json,171.819,ising1d,0,4e5cc09c342a,OK,ising1d-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-4e5cc09c342a
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ising1d\ising1d_train.txt --holdout C:\omega\omega\corpora\ising1d\ising1d_tail.txt --mode words --label-mode ib --control block --control_block 2 --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 9000 --stride 2 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\ising1d\ising1d-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-c7fa930f1051\ising1d-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-c7fa930f1051.json,191.447,ising1d,0,c7fa930f1051,OK,ising1d-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tblock_B2_shuffle-c7fa930f1051
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ising1d\ising1d_train.txt --holdout C:\omega\omega\corpora\ising1d\ising1d_tail.txt --mode words --label-mode ib --control block --control_block 2 --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 6000 --stride 2 --seed 333 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\ising1d\ising1d-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-840602f677e3\ising1d-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-840602f677e3.json,176.551,ising1d,0,840602f677e3,OK,ising1d-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-840602f677e3
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ising1d\ising1d_train.txt --holdout C:\omega\omega\corpora\ising1d\ising1d_tail.txt --mode words --label-mode ib --control block --control_block 2 --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 9000 --stride 2 --seed 333 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\ising1d\ising1d-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-af98cd79c247\ising1d-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-af98cd79c247.json,176.222,ising1d,0,af98cd79c247,OK,ising1d-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-tblock_B2_shuffle-af98cd79c247
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ising1d\ising1d_train.txt --holdout C:\omega\omega\corpora\ising1d\ising1d_tail.txt --mode words --label-mode ib --control block --control_block 2 --n 3 --k_ctx 5 --ib-clusters 64 --ib-max-contexts 6000 --stride 1 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\ising1d\ising1d-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-31ca1cee1ee3\ising1d-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-31ca1cee1ee3.json,181.849,ising1d,0,31ca1cee1ee3,OK,ising1d-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-31ca1cee1ee3
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ising1d\ising1d_train.txt --holdout C:\omega\omega\corpora\ising1d\ising1d_tail.txt --mode words --label-mode ib --control block --control_block 2 --n 3 --k_ctx 5 --ib-clusters 64 --ib-max-contexts 9000 --stride 1 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\ising1d\ising1d-n3-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-1dac313036fc\ising1d-n3-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-1dac313036fc.json,200.429,ising1d,0,1dac313036fc,OK,ising1d-n3-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-tblock_B2_shuffle-1dac313036fc
