tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
arnold_cat-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-5d692afaaf70,OK,26.049,3,5,32,6000,1,111,2000,0.05,-0.0005304554319220514,delta_ib.mean,-2.0292710032482777,-0.0010165673824605033,0.0004861119505384519
arnold_cat-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-4139e13ad2a8,OK,26.938,3,5,32,9000,1,111,2000,0.05,-0.0005304554319220514,delta_ib.mean,-2.0292710032482777,-0.0009610182142429393,0.00043056278232088787
arnold_cat-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-ec91b889fa32,OK,26.624,4,5,32,6000,1,111,2000,0.05,0.0,delta_ib.mean,1.0,2.5339503464837077e-05,-2.5339503464837077e-05
arnold_cat-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-000e5120d87a,OK,27.594,4,5,32,9000,1,111,2000,0.05,0.0,delta_ib.mean,1.0,-2.712178284898449e-05,2.712178284898449e-05
arnold_cat-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-fa9061213cf9,OK,27.67,3,5,32,6000,1,333,2000,0.05,-0.00035021985907054585,delta_ib.mean,-1.0,-0.001013643735350839,0.0006634238762802932
arnold_cat-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-c2092a25bfa4,OK,26.939,3,5,32,9000,1,333,2000,0.05,-0.00035021985907054585,delta_ib.mean,-1.0,-0.0009642708450926139,0.000614050986022068
arnold_cat-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-13c307d726d0,OK,27.069,4,5,32,6000,1,333,2000,0.05,0.0,delta_ib.mean,1.0,2.240567370058444e-05,-2.240567370058444e-05
arnold_cat-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-72e1122adddf,OK,27.822,4,5,32,9000,1,333,2000,0.05,0.0,delta_ib.mean,1.0,-2.3878336618312344e-05,2.3878336618312344e-05
arnold_cat-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-811724239287,OK,25.954,3,5,32,6000,2,111,2000,0.05,-0.00046948528330121995,delta_ib.mean,-1.6810888711290932,-0.0010106997516852768,0.000541214468384057
arnold_cat-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-f11efc1fa915,OK,27.78,3,5,32,9000,2,111,2000,0.05,-0.00046948528330121995,delta_ib.mean,-1.6810888711290932,-0.0009675050749165772,0.0004980197916153572
