tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
hamiltonian-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-221d5ee38f6e,OK,27.984,3,5,32,6000,1,111,2000,0.05,0.0,delta_ib.mean,0.0,0.00016303503411714218,-0.00016303503411714218
hamiltonian-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-65672eafc7e9,OK,27.593,3,5,32,9000,1,111,2000,0.05,0.0,delta_ib.mean,0.0,0.00020167464130659175,-0.00020167464130659175
hamiltonian-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-c0ef1c71fbf1,OK,27.226,4,5,32,6000,1,111,2000,0.05,0.0,delta_ib.mean,0.0,-3.4209211357652975e-05,3.4209211357652975e-05
hamiltonian-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-72a52fe439fa,OK,27.901,4,5,32,9000,1,111,2000,0.05,0.0,delta_ib.mean,0.0,-0.00040552023912024735,0.00040552023912024735
hamiltonian-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-da17f20a07fd,OK,26.827,3,5,32,6000,1,333,2000,0.05,-0.0007004397181410917,delta_ib.mean,-1.436842416214199,-0.0006933032915242377,-7.136426616853966e-06
hamiltonian-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-9a3668c0a68e,OK,26.307,3,5,32,9000,1,333,2000,0.05,-0.0007004397181410917,delta_ib.mean,-1.436842416214199,-0.0007278580989122287,2.7418380771137034e-05
hamiltonian-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-a2f9bebbaf51,OK,28.131,4,5,32,6000,1,333,2000,0.05,0.0,delta_ib.mean,0.0,-0.000488808339319751,0.000488808339319751
hamiltonian-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-83a4c0a87898,OK,28.0,4,5,32,9000,1,333,2000,0.05,0.0,delta_ib.mean,0.0,-0.00011711717345242936,0.00011711717345242936
hamiltonian-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-501333d1ae42,OK,27.83,3,5,32,6000,2,111,2000,0.05,0.0,delta_ib.mean,0.0,0.00016803608792055933,-0.00016803608792055933
hamiltonian-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-9f2f1a52b578,OK,27.385,3,5,32,9000,2,111,2000,0.05,0.0,delta_ib.mean,0.0,0.0001985019136004457,-0.0001985019136004457
hamiltonian-n4-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-ce438437de7e,OK,26.905,4,5,32,6000,2,111,2000,0.05,0.0,delta_ib.mean,0.0,-4.3684822538245845e-05,4.3684822538245845e-05
hamiltonian-n4-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-a97e9e19c417,OK,27.361,4,5,32,9000,2,111,2000,0.05,0.0,delta_ib.mean,0.0,-0.0004157111435433998,0.0004157111435433998
hamiltonian-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-ffb141f24fba,OK,26.547,3,5,32,6000,2,333,2000,0.05,-0.0007004397181410917,delta_ib.mean,-1.436842416214199,-0.0006982001039456997,-2.2396141953920454e-06
