tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
henon-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-dacc41140fec,OK,26.561,3,5,32,6000,1,111,2000,0.05,-0.0005849625007211561,delta_ib.mean,-2.3405444355645484,-0.0005698386680086027,-1.512383271255345e-05
henon-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-2748a89bb199,OK,26.42,3,5,32,9000,1,111,2000,0.05,-0.0005849625007211561,delta_ib.mean,-2.3405444355645484,-0.0005393949613530291,-4.556753936812703e-05
henon-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-21a4bcafcc14,OK,27.295,4,5,32,6000,1,111,2000,0.05,0.0,delta_ib.mean,1.0,1.3867274102630223e-05,-1.3867274102630223e-05
henon-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-f95a8e1e7563,OK,26.9,4,5,32,9000,1,111,2000,0.05,0.0,delta_ib.mean,1.0,-1.4844395165069689e-05,1.4844395165069689e-05
henon-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-25678663a535,OK,27.172,3,5,32,6000,1,333,2000,0.05,-0.00035021985907054585,delta_ib.mean,-1.0,-0.0005681965150940455,0.00021797665602349967
henon-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-1cef146e84a0,OK,26.641,3,5,32,9000,1,333,2000,0.05,-0.00035021985907054585,delta_ib.mean,-1.0,-0.0005412171646056799,0.00019099730553513402
henon-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-bd81f6b7bc9a,OK,29.02,4,5,32,6000,1,333,2000,0.05,0.0,delta_ib.mean,1.0,1.2219416616245245e-05,-1.2219416616245245e-05
henon-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-c8b7d34fa834,OK,27.343,4,5,32,9000,1,333,2000,0.05,0.0,delta_ib.mean,1.0,-1.302735067908173e-05,1.302735067908173e-05
henon-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-53c0989e9a16,OK,27.719,3,5,32,6000,2,111,2000,0.05,-0.00035021985907054585,delta_ib.mean,-1.0,-0.0005665429691858171,0.0002163231101152712
henon-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-c9f6fa24a8dd,OK,27.906,3,5,32,9000,2,111,2000,0.05,-0.00035021985907054585,delta_ib.mean,-1.0,-0.0005430290325168858,0.00019280917344633992
