tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
ising1d-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-f3a0a4a8dfa5,OK,172.111,3,5,32,6000,1,111,2000,0.05,0.0008395300826982008,delta_ib.mean,-0.9537021201175073,0.004330842439606596,-0.0034913123569083947
ising1d-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-d32ac8661878,OK,173.045,3,5,32,9000,1,111,2000,0.05,0.0008395300826982008,delta_ib.mean,-0.9537021201175073,0.003799919262541739,-0.002960389179843538
ising1d-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-fe2366d157ed,OK,161.013,4,5,32,6000,1,111,2000,0.05,0.0001917353140973042,delta_ib.mean,-1.180955525612572,0.003293890855066911,-0.003102155540969607
ising1d-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-b70bba6edb0e,OK,166.718,4,5,32,9000,1,111,2000,0.05,0.0001917353140973042,delta_ib.mean,-1.180955525612572,0.0028151039246800376,-0.0026233686105827333
ising1d-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-e75b243c02a4,OK,172.025,3,5,32,6000,1,333,2000,0.05,0.001684230053958173,delta_ib.mean,-0.6573722415897627,0.002365778846488218,-0.0006815487925300448
ising1d-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-9c9fc7e192c9,OK,165.986,3,5,32,9000,1,333,2000,0.05,0.001684230053958173,delta_ib.mean,-0.6573722415897627,0.0019479993662148594,-0.0002637693122566863
ising1d-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-3a022ead7c38,OK,169.375,4,5,32,6000,1,333,2000,0.05,0.0003550630486616469,delta_ib.mean,-1.1236583912567244,0.0015637029368257447,-0.0012086398881640979
ising1d-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-27286ba78a1f,OK,160.739,4,5,32,9000,1,333,2000,0.05,0.0003550630486616469,delta_ib.mean,-1.1236583912567244,0.001214671733588019,-0.0008596086849263721
ising1d-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-d95ff5b78dca,OK,168.16,3,5,32,6000,2,111,2000,0.05,0.00042784552727745954,delta_ib.mean,-1.0981255112034658,0.0009025243892296919,-0.0004746788619522324
ising1d-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-b58223112a12,OK,168.64,3,5,32,9000,2,111,2000,0.05,0.00042784552727745954,delta_ib.mean,-1.0981255112034658,0.0006287084875279698,-0.00020086296025051024
ising1d-n4-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-8694083ece68,OK,166.642,4,5,32,6000,2,111,2000,0.05,0.0011444678059903638,delta_ib.mean,-0.8467266713473275,0.00039449385013728445,0.0007499739558530793
ising1d-n4-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-2693ae859e63,OK,167.529,4,5,32,9000,2,111,2000,0.05,0.0011444678059903638,delta_ib.mean,-0.8467266713473275,0.00020096664778949946,0.0009435011582008643
ising1d-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-3b87bc8794ac,OK,164.784,3,5,32,6000,2,333,2000,0.05,0.0026490751351813968,delta_ib.mean,-0.3188941600876446,4.9024363175486155e-05,0.0026000507720059106
ising1d-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-9345ebe2e420,OK,170.379,3,5,32,9000,2,333,2000,0.05,0.0026490751351813968,delta_ib.mean,-0.3188941600876446,-6.062837113217541e-05,0.002709703506313572
