tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
ising2d_fixed-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tglobal_shuffle-fea276b7977d,OK,27.344,3,5,32,6000,1,111,2000,0.05,-0.0007004397181410917,delta_ib.mean,-3.0000000000000004,-0.0008274887158233553,0.00012704899768226357
ising2d_fixed-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tglobal_shuffle-116870e6ad0c,OK,27.228,3,5,32,9000,1,111,2000,0.05,-0.0007004397181410917,delta_ib.mean,-3.0000000000000004,-0.0007848048827054969,8.436516456440516e-05
ising2d_fixed-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tglobal_shuffle-4ce7f5d2d6f7,OK,26.812,4,5,32,6000,1,111,2000,0.05,0.0,delta_ib.mean,1.0,1.9427034582249908e-05,-1.9427034582249908e-05
ising2d_fixed-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tglobal_shuffle-905851eccf0e,OK,28.252,4,5,32,9000,1,111,2000,0.05,0.0,delta_ib.mean,1.0,-2.073907789610659e-05,2.073907789610659e-05
ising2d_fixed-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tglobal_shuffle-cc141045076b,OK,27.349,3,5,32,6000,1,333,2000,0.05,-0.00035021985907054585,delta_ib.mean,-1.0,-0.0008250967388259813,0.00047487687975543544
ising2d_fixed-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tglobal_shuffle-a63298ce591b,OK,27.265,3,5,32,9000,1,333,2000,0.05,-0.00035021985907054585,delta_ib.mean,-1.0,-0.0007874487406389534,0.0004372288815684076
ising2d_fixed-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tglobal_shuffle-6279e80f4b2c,OK,27.448,4,5,32,6000,1,333,2000,0.05,0.0,delta_ib.mean,1.0,1.702678074887398e-05,-1.702678074887398e-05
ising2d_fixed-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tglobal_shuffle-8ef407b3e30c,OK,27.845,4,5,32,9000,1,333,2000,0.05,0.0,delta_ib.mean,1.0,-1.810273417401898e-05,1.810273417401898e-05
ising2d_fixed-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tglobal_shuffle-4e8057ba60bd,OK,27.406,3,5,32,6000,2,111,2000,0.05,-0.0009842326841416824,delta_ib.mean,-4.620656045912151,-0.0008226882316805203,-0.00016154445246116208
ising2d_fixed-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tglobal_shuffle-6cdca354af88,OK,26.595,3,5,32,9000,2,111,2000,0.05,-0.0009842326841416824,delta_ib.mean,-4.620656045912151,-0.0007900775443119323,-0.0001941551398297501
ising2d_fixed-n4-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tglobal_shuffle-f9f5f44873c6,OK,26.938,4,5,32,6000,2,111,2000,0.05,0.0,delta_ib.mean,1.0,1.4610043896132576e-05,-1.4610043896132576e-05
ising2d_fixed-n4-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tglobal_shuffle-7f48741febcd,OK,27.578,4,5,32,9000,2,111,2000,0.05,0.0,delta_ib.mean,1.0,-1.5481496313989767e-05,1.5481496313989767e-05
ising2d_fixed-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-tglobal_shuffle-1ba2f3484576,OK,26.702,3,5,32,6000,2,333,2000,0.05,-0.00035021985907054585,delta_ib.mean,-1.0,-0.00082026328880596,0.0004700434297354142
ising2d_fixed-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-tglobal_shuffle-93b00bad86f6,OK,27.437,3,5,32,9000,2,333,2000,0.05,-0.00035021985907054585,delta_ib.mean,-1.0,-0.0007926911906693195,0.00044247133159877367
ising2d_fixed-n4-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-tglobal_shuffle-320389d9f124,OK,27.673,4,5,32,6000,2,333,2000,0.05,0.0,delta_ib.mean,1.0,1.2176918765636569e-05,-1.2176918765636569e-05
ising2d_fixed-n4-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-tglobal_shuffle-e621f779faef,OK,27.201,4,5,32,9000,2,333,2000,0.05,0.0,delta_ib.mean,1.0,-1.2875467074535002e-05,1.2875467074535002e-05
ising2d_fixed-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-tglobal_shuffle-942946e94479,OK,38.053,3,5,64,6000,1,111,2000,0.05,-0.0009842326841416824,delta_ib.mean,-4.620656045912151,-0.0008178220052656046,-0.00016641067887607772
ising2d_fixed-n3-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-tglobal_shuffle-3d2928d06f6f,OK,37.928,3,5,64,9000,1,111,2000,0.05,-0.0009842326841416824,delta_ib.mean,-4.620656045912151,-0.0007952895772502024,-0.00018894310689147994
ising2d_fixed-n4-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-tglobal_shuffle-193d6ee06222,OK,37.204,4,5,64,6000,1,111,2000,0.05,0.0,delta_ib.mean,1.0,9.727500741455797e-06,-9.727500741455797e-06
ising2d_fixed-n4-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-tglobal_shuffle-460d3d5fbab8,OK,38.014,4,5,64,9000,1,111,2000,0.05,0.0,delta_ib.mean,1.0,-1.0284748617960047e-05,1.0284748617960047e-05
ising2d_fixed-n3-k5-cl64-ctx6000-s1-sd333-bs2000-a0p05-tglobal_shuffle-da5f171b82d1,OK,38.016,3,5,64,6000,1,333,2000,0.05,-0.00035021985907054585,delta_ib.mean,-1.0,-0.0008153644767633513,0.00046514461769280545
ising2d_fixed-n3-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-tglobal_shuffle-c7853091cfbc,OK,37.574,3,5,64,9000,1,333,2000,0.05,-0.00035021985907054585,delta_ib.mean,-1.0,-0.0007978726021918854,0.0004476527431213395
ising2d_fixed-n4-k5-cl64-ctx6000-s1-sd333-bs2000-a0p05-tglobal_shuffle-2490d6aaa54f,OK,36.981,4,5,64,6000,1,333,2000,0.05,0.0,delta_ib.mean,1.0,7.261885846374496e-06,-7.261885846374496e-06
ising2d_fixed-n4-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-tglobal_shuffle-f547cf46d66d,OK,39.466,4,5,64,9000,1,333,2000,0.05,0.0,delta_ib.mean,1.0,-7.709442506353612e-06,7.709442506353612e-06
ising2d_fixed-n3-k5-cl64-ctx6000-s2-sd111-bs2000-a0p05-tglobal_shuffle-e597bbb5b715,OK,37.984,3,5,64,6000,2,111,2000,0.05,-0.0009842326841416824,delta_ib.mean,-4.620656045912151,-0.000812890799639938,-0.0001713418845017444
ising2d_fixed-n3-k5-cl64-ctx9000-s2-sd111-bs2000-a0p05-tglobal_shuffle-75a87f50ab6f,OK,37.861,3,5,64,9000,2,111,2000,0.05,-0.0009842326841416824,delta_ib.mean,-4.620656045912151,-0.000800440164233883,-0.00018379251990779933
ising2d_fixed-n4-k5-cl64-ctx6000-s2-sd111-bs2000-a0p05-tglobal_shuffle-d305dab20c9e,OK,39.015,4,5,64,6000,2,111,2000,0.05,0.0,delta_ib.mean,1.0,4.7801707381368635e-06,-4.7801707381368635e-06
ising2d_fixed-n4-k5-cl64-ctx9000-s2-sd111-bs2000-a0p05-tglobal_shuffle-4cd4961eca47,OK,36.969,4,5,64,9000,2,111,2000,0.05,0.0,delta_ib.mean,1.0,-5.1496496975991335e-06,5.1496496975991335e-06
ising2d_fixed-n3-k5-cl64-ctx6000-s2-sd333-bs2000-a0p05-tglobal_shuffle-0a4e12482dfc,OK,37.171,3,5,64,6000,2,333,2000,0.05,-0.00035021985907054585,delta_ib.mean,-1.0,-0.0008104010708691596,0.00046018121179861374
ising2d_fixed-n3-k5-cl64-ctx9000-s2-sd333-bs2000-a0p05-tglobal_shuffle-eefd3610f45a,OK,37.892,3,5,64,9000,2,333,2000,0.05,-0.00035021985907054585,delta_ib.mean,-1.0,-0.0008029921627218971,0.0004527723036513513
ising2d_fixed-n4-k5-cl64-ctx6000-s2-sd333-bs2000-a0p05-tglobal_shuffle-f731ecd60c50,OK,37.217,4,5,64,6000,2,333,2000,0.05,0.0,delta_ib.mean,1.0,2.2824527056453125e-06,-2.2824527056453125e-06
ising2d_fixed-n4-k5-cl64-ctx9000-s2-sd333-bs2000-a0p05-tglobal_shuffle-91c4d6ac5f5d,OK,32.515,4,5,64,9000,2,333,2000,0.05,0.0,delta_ib.mean,1.0,-2.605470541433379e-06,2.605470541433379e-06
ising2d_fixed-n3-k7-cl32-ctx6000-s1-sd111-bs2000-a0p05-tglobal_shuffle-e451c6cac3fd,OK,27.129,3,7,32,6000,1,111,2000,0.05,-0.0014008794362821834,delta_ib.mean,-7.0,-0.0008078953880540821,-0.0005929840482281013
ising2d_fixed-n3-k7-cl32-ctx9000-s1-sd111-bs2000-a0p05-tglobal_shuffle-0a2885ec1ad3,OK,28.712,3,7,32,9000,1,111,2000,0.05,-0.0014008794362821834,delta_ib.mean,-7.0,-0.0008055284976117463,-0.0005953509386704371
ising2d_fixed-n4-k7-cl32-ctx6000-s1-sd111-bs2000-a0p05-tglobal_shuffle-7dfd28eb36e4,OK,27.249,4,7,32,6000,1,111,2000,0.05,0.0,delta_ib.mean,1.0,-2.3117033483673532e-07,2.3117033483673532e-07
ising2d_fixed-n4-k7-cl32-ctx9000-s1-sd111-bs2000-a0p05-tglobal_shuffle-e7bd444039f2,OK,26.874,4,7,32,9000,1,111,2000,0.05,0.0,delta_ib.mean,1.0,-7.700477549371382e-08,7.700477549371382e-08
ising2d_fixed-n3-k7-cl32-ctx6000-s1-sd333-bs2000-a0p05-tglobal_shuffle-f8ebbf1fc876,OK,28.299,3,7,32,6000,1,333,2000,0.05,-0.00035021985907054585,delta_ib.mean,-1.0,-0.0008053738494231985,0.00045515399035265267
ising2d_fixed-n3-k7-cl32-ctx9000-s1-sd333-bs2000-a0p05-tglobal_shuffle-c6185a388264,OK,27.731,3,7,32,9000,1,333,2000,0.05,-0.00035021985907054585,delta_ib.mean,-1.0,-0.0008080490694733062,0.0004578292104027603
ising2d_fixed-n4-k7-cl32-ctx6000-s1-sd333-bs2000-a0p05-tglobal_shuffle-67c4f3dc0904,OK,28.205,4,7,32,6000,1,333,2000,0.05,0.0,delta_ib.mean,1.0,-2.7605998435444447e-06,2.7605998435444447e-06
ising2d_fixed-n4-k7-cl32-ctx9000-s1-sd333-bs2000-a0p05-tglobal_shuffle-be0b3e63bb13,OK,26.874,4,7,32,9000,1,333,2000,0.05,0.0,delta_ib.mean,1.0,2.43564847858367e-06,-2.43564847858367e-06
ising2d_fixed-n3-k7-cl32-ctx6000-s2-sd111-bs2000-a0p05-tglobal_shuffle-7aacaa15a47a,OK,27.267,3,7,32,6000,2,111,2000,0.05,-0.001684672402282774,delta_ib.mean,-8.62065604591215,-0.0008028365538265853,-0.0008818358484561887
ising2d_fixed-n3-k7-cl32-ctx9000-s2-sd111-bs2000-a0p05-tglobal_shuffle-8eca17ad936d,OK,27.5,3,7,32,9000,2,111,2000,0.05,-0.001684672402282774,delta_ib.mean,-8.62065604591215,-0.0008105537794943996,-0.0008741186227883745
ising2d_fixed-n4-k7-cl32-ctx6000-s2-sd111-bs2000-a0p05-tglobal_shuffle-c9b3ba51fe33,OK,26.655,4,7,32,6000,2,111,2000,0.05,0.0,delta_ib.mean,1.0,-5.305736661051865e-06,5.305736661051865e-06
ising2d_fixed-n4-k7-cl32-ctx9000-s2-sd111-bs2000-a0p05-tglobal_shuffle-00f087455ba3,OK,27.517,4,7,32,9000,2,111,2000,0.05,0.0,delta_ib.mean,1.0,4.932390719040319e-06,-4.932390719040319e-06
