tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
logistic-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-2c405e241bff,OK,27.984,3,5,32,6000,1,111,2000,0.05,-0.0005849625007211561,delta_ib.mean,-1.0,-0.0006894342598688734,0.00010447175914771731
logistic-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-9305396b8d98,OK,27.015,3,5,32,9000,1,111,2000,0.05,-0.0005849625007211561,delta_ib.mean,-1.0,-0.0006544111141419507,6.944861342079458e-05
logistic-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-946519219d93,OK,27.188,4,5,32,6000,1,111,2000,0.05,0.0,delta_ib.mean,1.0,1.5916924655894104e-05,-1.5916924655894104e-05
logistic-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-92994920584e,OK,28.11,4,5,32,9000,1,111,2000,0.05,0.0,delta_ib.mean,1.0,-1.7007698614707786e-05,1.7007698614707786e-05
logistic-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-65d16616dca9,OK,27.857,3,5,32,6000,1,333,2000,0.05,-0.0005849625007211561,delta_ib.mean,-1.0,-0.0006874388109188066,0.00010247631019765044
logistic-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-711529ec34dd,OK,26.874,3,5,32,9000,1,333,2000,0.05,-0.0005849625007211561,delta_ib.mean,-1.0,-0.0006566130327854444,7.165053206428828e-05
logistic-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-31ac7eede755,OK,28.062,4,5,32,6000,1,333,2000,0.05,0.0,delta_ib.mean,1.0,1.391458240068e-05,-1.391458240068e-05
logistic-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-26efda552bd2,OK,27.609,4,5,32,9000,1,333,2000,0.05,0.0,delta_ib.mean,1.0,-1.4812048484456311e-05,1.4812048484456311e-05
logistic-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-49c79ac4845f,OK,26.421,3,5,32,6000,2,111,2000,0.05,-0.0005849625007211561,delta_ib.mean,-1.0,-0.0006854295949825918,0.0001004670942614357
logistic-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-7df92374fd64,OK,26.844,3,5,32,9000,2,111,2000,0.05,-0.0005849625007211561,delta_ib.mean,-1.0,-0.0006588023928837741,7.3839892162618e-05
logistic-n4-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-c3b352134ed2,OK,28.124,4,5,32,6000,2,111,2000,0.05,0.0,delta_ib.mean,1.0,1.1898512474976504e-05,-1.1898512474976504e-05
logistic-n4-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-62f776630bbb,OK,26.064,4,5,32,9000,2,111,2000,0.05,0.0,delta_ib.mean,1.0,-1.2628999875079964e-05,1.2628999875079964e-05
logistic-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-7c79a4d12451,OK,27.079,3,5,32,6000,2,333,2000,0.05,-0.0005849625007211561,delta_ib.mean,-1.0,-0.0006834066908260869,9.844419010493076e-05
logistic-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-82d35ca89a00,OK,28.891,3,5,32,9000,2,333,2000,0.05,-0.0005849625007211561,delta_ib.mean,-1.0,-0.0006609791086090195,7.601660788786335e-05
logistic-n4-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-534fa547dd6d,OK,26.858,4,5,32,6000,2,333,2000,0.05,0.0,delta_ib.mean,1.0,9.868793913335526e-06,-9.868793913335526e-06
logistic-n4-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-8aa95d8912e9,OK,26.69,4,5,32,9000,2,333,2000,0.05,0.0,delta_ib.mean,1.0,-1.0458638367076079e-05,1.0458638367076079e-05
logistic-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-74abef7507c9,OK,36.706,3,5,64,6000,1,111,2000,0.05,-0.0005849625007211561,delta_ib.mean,-1.0,-0.0006813701777517606,9.64076770306045e-05
logistic-n3-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-c18f1fa5d202,OK,38.165,3,5,64,9000,1,111,2000,0.05,-0.0005849625007211561,delta_ib.mean,-1.0,-0.0006631430946289463,7.81805939077902e-05
logistic-n4-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-cdbea62593fd,OK,37.547,4,5,64,6000,1,111,2000,0.05,0.0,delta_ib.mean,1.0,7.825506285366374e-06,-7.825506285366374e-06
logistic-n4-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-2f87ecdf1e16,OK,36.449,4,5,64,9000,1,111,2000,0.05,0.0,delta_ib.mean,1.0,-8.301049043578227e-06,8.301049043578227e-06
logistic-n3-k5-cl64-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-31c9b028534b,OK,37.33,3,5,64,6000,1,333,2000,0.05,-0.0005849625007211561,delta_ib.mean,-1.0,-0.000679320135595582,9.435763487442592e-05
logistic-n3-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-a32ca9723960,OK,38.108,3,5,64,9000,1,333,2000,0.05,-0.0005849625007211561,delta_ib.mean,-1.0,-0.0006652942661103548,8.033176538919864e-05
logistic-n4-k5-cl64-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-d22450a84c97,OK,38.25,4,5,64,6000,1,333,2000,0.05,0.0,delta_ib.mean,1.0,5.768729692613641e-06,-5.768729692613641e-06
logistic-n4-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-91b7cb42c111,OK,38.485,4,5,64,9000,1,333,2000,0.05,0.0,delta_ib.mean,1.0,-6.156316487022353e-06,6.156316487022353e-06
logistic-n3-k5-cl64-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-170a55607536,OK,37.719,3,5,64,6000,2,111,2000,0.05,-0.0005849625007211561,delta_ib.mean,-1.0,-0.000677256644723892,9.229414400273588e-05
logistic-n3-k5-cl64-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-e968596f24a4,OK,37.762,3,5,64,9000,2,111,2000,0.05,-0.0005849625007211561,delta_ib.mean,-1.0,-0.0006674325387224028,8.247003800124664e-05
logistic-n4-k5-cl64-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-6f5964360cc1,OK,36.793,4,5,64,6000,2,111,2000,0.05,0.0,delta_ib.mean,1.0,3.698544765424832e-06,-3.698544765424832e-06
logistic-n4-k5-cl64-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-344e504482b3,OK,36.938,4,5,64,9000,2,111,2000,0.05,0.0,delta_ib.mean,1.0,-4.024524775824887e-06,4.024524775824887e-06
logistic-n3-k5-cl64-ctx6000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-0206c23f3574,OK,37.439,3,5,64,6000,2,333,2000,0.05,-0.0005849625007211561,delta_ib.mean,-1.0,-0.0006751797860302473,9.02172853090912e-05
logistic-n3-k5-cl64-ctx9000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-049eae30dfcd,OK,37.966,3,5,64,9000,2,333,2000,0.05,-0.0005849625007211561,delta_ib.mean,-1.0,-0.0006695578286399187,8.459532791876259e-05
logistic-n4-k5-cl64-ctx6000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-4d63fa6a2bcc,OK,37.905,4,5,64,6000,2,333,2000,0.05,0.0,delta_ib.mean,1.0,1.6150326597789652e-06,-1.6150326597789652e-06
logistic-n4-k5-cl64-ctx9000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-1e13db2eee38,OK,28.772,4,5,64,9000,2,333,2000,0.05,0.0,delta_ib.mean,1.0,-1.9057574810999421e-06,1.9057574810999421e-06
logistic-n3-k7-cl32-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-40a82a6b1b8a,OK,27.001,3,7,32,6000,1,111,2000,0.05,-0.0005849625007211561,delta_ib.mean,-1.0,-0.0006730896409322623,8.81271402111062e-05
logistic-n3-k7-cl32-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-97f546a72295,OK,27.046,3,7,32,9000,1,111,2000,0.05,-0.0005849625007211561,delta_ib.mean,-1.0,-0.0006716700525466736,8.670755182551746e-05
logistic-n4-k7-cl32-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-d7492124236f,OK,26.937,4,7,32,6000,1,111,2000,0.05,0.0,delta_ib.mean,1.0,-4.817249458808162e-07,4.817249458808162e-07
logistic-n4-k7-cl32-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-d09466d07142,OK,27.9,4,7,32,9000,1,111,2000,0.05,0.0,delta_ib.mean,1.0,1.9990233663243163e-07,-1.9990233663243163e-07
logistic-n3-k7-cl32-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-5d5fe9977524,OK,25.859,3,7,32,6000,1,333,2000,0.05,-0.000935182359791702,delta_ib.mean,-2.197409607073227,-0.0006709862913684013,-0.0002641960684233006
logistic-n3-k7-cl32-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-ad5990085d42,OK,26.329,3,7,32,9000,1,333,2000,0.05,-0.000935182359791702,delta_ib.mean,-2.197409607073227,-0.000673769127638663,-0.0002614132321530389
logistic-n4-k7-cl32-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-6a2ea110fe8a,OK,26.938,4,7,32,6000,1,333,2000,0.05,0.0,delta_ib.mean,1.0,-2.591645853866945e-06,2.591645853866945e-06
logistic-n4-k7-cl32-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-9f69b7564fab,OK,26.751,4,7,32,9000,1,333,2000,0.05,0.0,delta_ib.mean,1.0,2.2923721306951665e-06,-2.2923721306951665e-06
logistic-n3-k7-cl32-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-6d3159f1d5d3,OK,26.937,3,7,32,6000,2,111,2000,0.05,-0.0005849625007211561,delta_ib.mean,-1.0,-0.000668869819794774,8.390731907361793e-05
logistic-n3-k7-cl32-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-8ccaf6872c5c,OK,27.547,3,7,32,9000,2,111,2000,0.05,-0.0005849625007211561,delta_ib.mean,-1.0,-0.0006758549716273463,9.08924709061902e-05
logistic-n4-k7-cl32-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-f3b369c60e88,OK,27.332,4,7,32,6000,2,111,2000,0.05,0.0,delta_ib.mean,1.0,-4.71464735045076e-06,4.71464735045076e-06
logistic-n4-k7-cl32-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-04178c8624a1,OK,26.508,4,7,32,9000,2,111,2000,0.05,0.0,delta_ib.mean,1.0,4.371569871483311e-06,-4.371569871483311e-06
logistic-n3-k7-cl32-ctx6000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-f2acd6052fb6,OK,28.609,3,7,32,6000,2,333,2000,0.05,-0.000935182359791702,delta_ib.mean,-2.197409607073227,-0.0006667403091819104,-0.00026844205060979156
logistic-n3-k7-cl32-ctx9000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-b44f247df70f,OK,26.393,3,7,32,9000,2,333,2000,0.05,-0.000935182359791702,delta_ib.mean,-2.197409607073227,-0.0006779275027428654,-0.0002572548570488366
logistic-n4-k7-cl32-ctx6000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-7641c56eb7ef,OK,27.282,4,7,32,6000,2,333,2000,0.05,0.0,delta_ib.mean,1.0,-6.850646209121888e-06,6.850646209121888e-06
logistic-n4-k7-cl32-ctx9000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-99d06852eea4,OK,27.734,4,7,32,9000,2,333,2000,0.05,0.0,delta_ib.mean,1.0,6.4374140496937615e-06,-6.4374140496937615e-06
logistic-n3-k7-cl64-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-0c82c8f950a4,OK,37.858,3,7,64,6000,1,111,2000,0.05,-0.0005849625007211561,delta_ib.mean,-1.0,-0.0006645978430114929,7.96353422903368e-05
logistic-n3-k7-cl64-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-2d90fe8f80f9,OK,38.547,3,7,64,9000,1,111,2000,0.05,-0.0005849625007211561,delta_ib.mean,-1.0,-0.0006799866397372639,9.502413901610774e-05
logistic-n4-k7-cl64-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-00895628552e,OK,37.219,4,7,64,6000,1,111,2000,0.05,0.0,delta_ib.mean,1.0,-8.999558693841177e-06,8.999558693841177e-06
logistic-n4-k7-cl64-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-c57862efbe3a,OK,36.109,4,7,64,9000,1,111,2000,0.05,0.0,delta_ib.mean,1.0,8.489823679511295e-06,-8.489823679511295e-06
logistic-n3-k7-cl64-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-a021cf394e9f,OK,37.798,3,7,64,6000,1,333,2000,0.05,-0.000935182359791702,delta_ib.mean,-2.197409607073227,-0.0006624425052730942,-0.0002727398545186078
