tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
lorenz63-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-49fda1674ff8,OK,28.108,3,5,32,6000,1,111,2000,0.05,-0.0016394102847435326,delta_ib.mean,-8.362177742258192,-0.001108522847689349,-0.0005308874370541835
lorenz63-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-76d00de953c2,OK,26.579,3,5,32,9000,1,111,2000,0.05,-0.0016394102847435326,delta_ib.mean,-8.362177742258192,-0.0010524352365073619,-0.0005869750482361707
lorenz63-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-2132f6682ac4,OK,27.384,4,5,32,6000,1,111,2000,0.05,0.0,delta_ib.mean,1.0,2.54920123391706e-05,-2.54920123391706e-05
lorenz63-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-b9824ddda59f,OK,25.55,4,5,32,9000,1,111,2000,0.05,0.0,delta_ib.mean,1.0,-2.7221050253082527e-05,2.7221050253082527e-05
lorenz63-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-d90f6d7683cd,OK,27.687,3,5,32,6000,1,333,2000,0.05,-0.00035021985907054585,delta_ib.mean,-1.0,-0.0011053133221020687,0.0007550934630315228
lorenz63-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-39a95bcd8b02,OK,28.734,3,5,32,9000,1,333,2000,0.05,-0.00035021985907054585,delta_ib.mean,-1.0,-0.001055975324718961,0.0007057554656484151
lorenz63-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-0df85ba5ee73,OK,26.407,4,5,32,6000,1,333,2000,0.05,0.0,delta_ib.mean,1.0,2.2271404186072446e-05,-2.2271404186072446e-05
lorenz63-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-58d07327b55f,OK,26.578,4,5,32,9000,1,333,2000,0.05,0.0,delta_ib.mean,1.0,-2.3691044446128473e-05,2.3691044446128473e-05
lorenz63-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-1d619c072120,OK,27.394,3,5,32,6000,2,111,2000,0.05,-0.000935182359791702,delta_ib.mean,-4.340544435564548,-0.0011020816629470308,0.00016689930315532883
lorenz63-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-ad783df91a7b,OK,26.072,3,5,32,9000,2,111,2000,0.05,-0.000935182359791702,delta_ib.mean,-4.340544435564548,-0.0010594952135251088,0.0001243128537334068
