tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
rel_aberration-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-6dd305ffd802,OK,110.812,3,5,32,6000,1,111,2000,0.05,-0.0005184865090354096,delta_ib.mean,-0.736244494555348,0.004612603727625847,-0.005131090236661256
rel_aberration-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-c194f516a2c8,OK,111.625,3,5,32,9000,1,111,2000,0.05,-0.0005184865090354096,delta_ib.mean,-0.736244494555348,0.0037850864576523292,-0.004303572966687739
rel_aberration-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-8c070ac70b18,OK,114.439,4,5,32,6000,1,111,2000,0.05,0.0,delta_ib.mean,-0.4778047634984164,0.0029987511423583465,-0.0029987511423583465
rel_aberration-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-438cd2741b8b,OK,115.155,4,5,32,9000,1,111,2000,0.05,0.0,delta_ib.mean,-0.4778047634984164,0.0022572444129468593,-0.0022572444129468593
rel_aberration-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-b4603c5b0d8a,OK,115.594,3,5,32,6000,1,333,2000,0.05,0.0003060238737000731,delta_ib.mean,-0.32526708655252307,0.0015640050079866134,-0.0012579811342865403
rel_aberration-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-7542772f0d05,OK,110.859,3,5,32,9000,1,333,2000,0.05,0.0003060238737000731,delta_ib.mean,-0.32526708655252307,0.0009222478262569007,-0.0006162239525568276
rel_aberration-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-3c0b2c2e6145,OK,110.813,4,5,32,6000,1,333,2000,0.05,0.0010443477136814914,delta_ib.mean,0.04275061750057776,0.0003349490176496224,0.000709398696031869
rel_aberration-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-18de70f4bc27,OK,112.607,4,5,32,9000,1,333,2000,0.05,0.0010443477136814914,delta_ib.mean,0.04275061750057776,-0.00019516781873026544,0.0012395155324117569
rel_aberration-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-884183489d26,OK,108.187,3,5,32,6000,2,111,2000,0.05,-0.0006056830764828837,delta_ib.mean,-0.7797076455679692,-0.0006656442652597048,5.9961188776821083e-05
rel_aberration-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-82513405fec3,OK,109.829,3,5,32,9000,2,111,2000,0.05,-0.0006056830764828837,delta_ib.mean,-0.7797076455679692,-0.0010742984867129282,0.0004686154102300445
rel_aberration-n4-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-8a8f71a62eab,OK,111.469,4,5,32,6000,2,111,2000,0.05,0.0,delta_ib.mean,-0.4778047634984164,-0.0014192353485256073,0.0014192353485256073
rel_aberration-n4-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-e8a0afc84898,OK,112.469,4,5,32,9000,2,111,2000,0.05,0.0,delta_ib.mean,-0.4778047634984164,-0.0016988552054842104,0.0016988552054842104
rel_aberration-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-2f5624c1d00b,OK,113.344,3,5,32,6000,2,333,2000,0.05,-0.00045605474989667455,delta_ib.mean,-0.7051253684834988,-0.0019118613200830997,0.0014558065701864252
rel_aberration-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-11c135535517,OK,107.985,3,5,32,9000,2,333,2000,0.05,-0.00045605474989667455,delta_ib.mean,-0.7051253684834988,-0.0020572658761466474,0.0016012111262499729
rel_aberration-n4-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-c82152da2a06,OK,113.454,4,5,32,6000,2,333,2000,0.05,-0.00032142118271735433,delta_ib.mean,-0.6380172330031936,-0.002134394559828225,0.0018129733771108706
rel_aberration-n4-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-0d92f7444b70,OK,110.608,4,5,32,9000,2,333,2000,0.05,-0.00032142118271735433,delta_ib.mean,-0.6380172330031936,-0.002142889686741688,0.0018214685040243337
rel_aberration-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-97a99ff09d65,OK,122.25,3,5,64,6000,1,111,2000,0.05,-0.002537987607382673,delta_ib.mean,-1.7428653258225326,-0.0020827118607232454,-0.00045527574665942764
rel_aberration-n3-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-48a792341833,OK,116.859,3,5,64,9000,1,111,2000,0.05,-0.002537987607382673,delta_ib.mean,-1.7428653258225326,-0.0019541401565312307,-0.0005838474508514423
rel_aberration-n4-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-a82e18edb56a,OK,115.688,4,5,64,6000,1,111,2000,0.05,0.00042359023991010253,delta_ib.mean,-0.26666610169529564,-0.001757770825636492,0.0021813610655465943
rel_aberration-n4-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-8436d21c54fb,OK,120.694,4,5,64,9000,1,111,2000,0.05,0.00042359023991010253,delta_ib.mean,-0.26666610169529564,-0.001494514531105301,0.0019181047710154036
rel_aberration-n3-k5-cl64-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-0cc53928f58d,OK,116.407,3,5,64,6000,1,333,2000,0.05,8.121062599873873e-05,delta_ib.mean,-0.43732530650902396,-0.0011655921243980231,0.0012468027503967619
rel_aberration-n3-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-8379877c7a0a,OK,118.578,3,5,64,9000,1,333,2000,0.05,8.121062599873873e-05,delta_ib.mean,-0.43732530650902396,-0.0007725289836686324,0.0008537396096673711
rel_aberration-n4-k5-cl64-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-73a2778af914,OK,115.66,4,5,64,6000,1,333,2000,0.05,0.0010443477136814914,delta_ib.mean,0.04275061750057776,-0.00031714793982124713,0.0013614956535027386
rel_aberration-n4-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-7e93fec48033,OK,122.281,4,5,64,9000,1,333,2000,0.05,0.0010443477136814914,delta_ib.mean,0.04275061750057776,0.00019843917687092927,0.0008459085368105622
rel_aberration-n3-k5-cl64-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-97700fdd5246,OK,113.828,3,5,64,6000,2,111,2000,0.05,-0.0007898119370924266,delta_ib.mean,-0.8714867225284839,0.0007718413303816549,-0.0015616532674740816
rel_aberration-n3-k5-cl64-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-1322109acf73,OK,113.843,3,5,64,9000,2,111,2000,0.05,-0.0007898119370924266,delta_ib.mean,-0.8714867225284839,0.0014003993673648157,-0.0021902113044572425
rel_aberration-n4-k5-cl64-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-5c2491b9c611,OK,114.562,4,5,64,6000,2,111,2000,0.05,-1.6266792925283423e-05,delta_ib.mean,-0.4859129505303029,0.002081198348982044,-0.0020974651419073276
rel_aberration-n4-k5-cl64-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-6df6740ee5fe,OK,115.111,4,5,64,9000,2,111,2000,0.05,-1.6266792925283423e-05,delta_ib.mean,-0.4859129505303029,0.0028110810689359507,-0.0028273478618612343
rel_aberration-n3-k5-cl64-ctx6000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-e17777601129,OK,114.142,3,5,64,6000,2,333,2000,0.05,-0.0027445668709564835,delta_ib.mean,-1.8458348117967733,0.003586662695019059,-0.006331229565975542
rel_aberration-n3-k5-cl64-ctx9000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-6e6b16a403c2,OK,117.374,3,5,64,9000,2,333,2000,0.05,-0.0027445668709564835,delta_ib.mean,-1.8458348117967733,0.004404346466278243,-0.007148913337234727
rel_aberration-n4-k5-cl64-ctx6000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-b4141253d459,OK,114.483,4,5,64,6000,2,333,2000,0.05,0.0007229265309641372,delta_ib.mean,-0.11746185200419937,0.005260340372999035,-0.004537413842034898
rel_aberration-n4-k5-cl64-ctx9000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-b017be860825,OK,111.687,4,5,64,9000,2,333,2000,0.05,0.0007229265309641372,delta_ib.mean,-0.11746185200419937,0.0061506747421563625,-0.005427748211192226
rel_aberration-n3-k7-cl32-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-893e3bcb0e02,OK,111.359,3,7,32,6000,1,111,2000,0.05,0.003222624594357085,delta_ib.mean,1.128513277471516,0.0070712206467791324,-0.0038485960524220473
rel_aberration-n3-k7-cl32-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-3e9096a26be1,OK,105.97,3,7,32,9000,1,111,2000,0.05,0.003222624594357085,delta_ib.mean,1.128513277471516,0.008017709053855276,-0.004795084459498191
rel_aberration-n4-k7-cl32-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-e800a1fda0f3,OK,111.765,4,7,32,6000,1,111,2000,0.05,0.03880690317929524,delta_ib.mean,18.865505903287914,0.008985750621978723,0.02982115255731652
rel_aberration-n4-k7-cl32-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-15f841cc5d42,OK,106.29,4,7,32,9000,1,111,2000,0.05,0.03880690317929524,delta_ib.mean,18.865505903287914,0.009970856056926733,0.028836047122368508
rel_aberration-n3-k7-cl32-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-053baa834b96,OK,111.058,3,7,32,6000,1,333,2000,0.05,0.011028128645563835,delta_ib.mean,5.0191687383253605,0.010968456930768622,5.9671714795213326e-05
rel_aberration-n3-k7-cl32-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-0d504e2fcdfd,OK,106.14,3,7,32,9000,1,333,2000,0.05,0.011028128645563835,delta_ib.mean,5.0191687383253605,0.011973926867957086,-0.0009457982223932508
rel_aberration-n4-k7-cl32-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-85d0bccc50cb,OK,108.066,4,7,32,6000,1,333,2000,0.05,0.006814204206391096,delta_ib.mean,2.9187370399575667,0.012982603000151787,-0.006168398793760691
rel_aberration-n4-k7-cl32-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-de398dd04339,OK,109.407,4,7,32,9000,1,333,2000,0.05,0.006814204206391096,delta_ib.mean,2.9187370399575667,0.013989807590278212,-0.007175603383887116
rel_aberration-n3-k7-cl32-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-1b704c42353f,OK,107.219,3,7,32,6000,2,111,2000,0.05,0.009836388347728707,delta_ib.mean,4.425145486620687,0.014990869725540425,-0.005154481377811718
rel_aberration-n3-k7-cl32-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-b695d351362f,OK,108.61,3,7,32,9000,2,111,2000,0.05,0.009836388347728707,delta_ib.mean,4.425145486620687,0.0159811469787861,-0.006144758631057392
rel_aberration-n4-k7-cl32-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-b1780cea1244,OK,110.076,4,7,32,6000,2,111,2000,0.05,0.004385274787110726,delta_ib.mean,1.708036558969319,0.01695604693776944,-0.012570772150658716
rel_aberration-n4-k7-cl32-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-6012a5716e0a,OK,103.625,4,7,32,9000,2,111,2000,0.05,0.004385274787110726,delta_ib.mean,1.708036558969319,0.01791104850246983,-0.013525773715359103
rel_aberration-n3-k7-cl32-ctx6000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-be459005433b,OK,110.657,3,7,32,6000,2,333,2000,0.05,0.014581979846347525,delta_ib.mean,6.790586764718339,0.01884172285169995,-0.004259743005352423
rel_aberration-n3-k7-cl32-ctx9000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-eac785380a8c,OK,107.03,3,7,32,9000,2,333,2000,0.05,0.014581979846347525,delta_ib.mean,6.790586764718339,0.019743753981770678,-0.005161774135423153
rel_aberration-n4-k7-cl32-ctx6000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-aa8e401d47ee,OK,105.718,4,7,32,6000,2,333,2000,0.05,0.037656452231425025,delta_ib.mean,18.29206333847575,0.02061295872196468,0.017043493509460345
rel_aberration-n4-k7-cl32-ctx9000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-62bc1a6b2b65,OK,102.141,4,7,32,9000,2,333,2000,0.05,0.037656452231425025,delta_ib.mean,18.29206333847575,0.02144530613399684,0.016211146097428186
rel_aberration-n3-k7-cl64-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-aed3111bdd64,OK,113.264,3,7,64,6000,1,111,2000,0.05,0.045005974057805084,delta_ib.mean,21.95543434448392,0.02223693620549664,0.022769037852308445
rel_aberration-n3-k7-cl64-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-bc5faf2a28ff,OK,110.907,3,7,64,9000,1,111,2000,0.05,0.045005974057805084,delta_ib.mean,21.95543434448392,0.02298417775082128,0.022021796306983803
rel_aberration-n4-k7-cl64-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-ad22611d0733,OK,107.5,4,7,64,6000,1,111,2000,0.05,0.04439963112251764,delta_ib.mean,21.653202555626983,0.023683565436184627,0.02071606568633301
rel_aberration-n4-k7-cl64-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-e95e6aa9b7f9,OK,109.968,4,7,64,9000,1,111,2000,0.05,0.04439963112251764,delta_ib.mean,21.653202555626983,0.024331855850147813,0.020067775272369824
rel_aberration-n3-k7-cl64-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-f0a9ba7da9da,OK,117.187,3,7,64,6000,1,333,2000,0.05,0.0008728135742801486,delta_ib.mean,-0.0427506175005777,0.024926042544944644,-0.024053228970664496
rel_aberration-n3-k7-cl64-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-1c89640ae354,OK,112.703,3,7,64,9000,1,333,2000,0.05,0.0008728135742801486,delta_ib.mean,-0.0427506175005777,0.025463369978887658,-0.02459055640460751
rel_aberration-n4-k7-cl64-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-75440854df96,OK,110.173,4,7,64,6000,1,333,2000,0.05,0.0006423328356646348,delta_ib.mean,-0.157633799731127,0.02594134629519678,-0.025299013459532147
rel_aberration-n4-k7-cl64-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-061b8467c12b,OK,103.983,4,7,64,9000,1,333,2000,0.05,0.0006423328356646348,delta_ib.mean,-0.157633799731127,0.026357754877988915,-0.02571542204232428
rel_aberration-n3-k7-cl64-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-86652eb6fb09,OK,115.969,3,7,64,6000,2,111,2000,0.05,0.013359976532867301,delta_ib.mean,6.18147890524086,0.026710664631837397,-0.013350688098970095
rel_aberration-n3-k7-cl64-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-c7f34c00cfff,OK,111.813,3,7,64,9000,2,111,2000,0.05,0.013359976532867301,delta_ib.mean,6.18147890524086,0.026998438937229932,-0.01363846240436263
rel_aberration-n4-k7-cl64-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-84016860ad2e,OK,71.625,4,7,64,6000,2,111,2000,0.05,0.003795090528133248,delta_ib.mean,1.4138590663901298,0.02721974324039405,-0.023424652712260803
rel_aberration-n4-k7-cl64-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-ef354aa11026,OK,72.047,4,7,64,9000,2,111,2000,0.05,0.003795090528133248,delta_ib.mean,1.4138590663901298,0.027373551242292217,-0.02357846071415897
rel_aberration-n3-k7-cl64-ctx6000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-484b5b22c417,OK,111.282,3,7,64,6000,2,333,2000,0.05,0.056870971121139834,delta_ib.mean,27.869545119987432,0.02745914965808516,0.029411821463054672
rel_aberration-n3-k7-cl64-ctx9000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-4b59bd355706,OK,110.828,3,7,64,9000,2,333,2000,0.05,0.056870971121139834,delta_ib.mean,27.869545119987432,0.027476141524991372,0.02939482959614846
rel_aberration-n4-k7-cl64-ctx6000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-5b236c0c5806,OK,69.859,4,7,64,6000,2,333,2000,0.05,0.045404352384816625,delta_ib.mean,22.154006121950825,0.027424448043202616,0.01797990434161401
rel_aberration-n4-k7-cl64-ctx9000-s2-sd333-bs2000-a0p05-tGLOBAL_shuffle-8eb74188fffa,OK,68.703,4,7,64,9000,2,333,2000,0.05,0.045404352384816625,delta_ib.mean,22.154006121950825,0.027304308941318148,0.018100043443498477
