tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
standard_map-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-fcda78eaddcc,OK,172.203,3,5,32,6000,1,111,2000,0.05,-6.00464846315354e-05,delta_ib.mean,-0.36238710078506814,0.0011587291628069973,-0.0012187756474385328
standard_map-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-10e46fcfa884,OK,166.722,3,5,32,9000,1,111,2000,0.05,-6.00464846315354e-05,delta_ib.mean,-0.36238710078506814,0.0009717835760404337,-0.001031830060671969
standard_map-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-5feb1462d37a,OK,168.075,4,5,32,6000,1,111,2000,0.05,-1.5722638880876045e-05,delta_ib.mean,-0.10777492595914617,0.0007898346756120684,-0.0008055573144929444
standard_map-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-tGLOBAL_shuffle-397576ec2802,OK,173.429,4,5,32,9000,1,111,2000,0.05,-1.5722638880876045e-05,delta_ib.mean,-0.10777492595914617,0.0006138465543158633,-0.0006295691931967394
standard_map-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-d765123e9809,OK,168.088,3,5,32,6000,1,333,2000,0.05,-1.0126938415568759e-05,delta_ib.mean,-0.07563120194293492,0.0004447517205603028,-0.00045487865897587157
standard_map-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-ff38733f7e6f,OK,174.203,3,5,32,9000,1,333,2000,0.05,-1.0126938415568759e-05,delta_ib.mean,-0.07563120194293492,0.0002834461572852984,-0.0002935730957008672
standard_map-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-be78dc67d2e4,OK,168.739,4,5,32,6000,1,333,2000,0.05,3.901836845693987e-06,delta_ib.mean,0.004955148788173824,0.00013078457441661898,-0.000126882737570925
standard_map-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-tGLOBAL_shuffle-1467a3e86997,OK,174.656,4,5,32,9000,1,333,2000,0.05,3.901836845693987e-06,delta_ib.mean,0.004955148788173824,-1.2424119986319086e-05,1.6325956832013073e-05
standard_map-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-3e5927e03fc4,OK,171.092,3,5,32,6000,2,111,2000,0.05,-2.1205914975736044e-05,delta_ib.mean,-0.13927284379635288,-0.00014542110589228145,0.0001242151909165454
standard_map-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-tGLOBAL_shuffle-f0c1e9f6ee19,OK,171.781,3,5,32,9000,2,111,2000,0.05,-2.1205914975736044e-05,delta_ib.mean,-0.13927284379635288,-0.0002675016720585595,0.0002462957570828234
