tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
arnold_cat-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-af8c7bca7022,OK,14.036,3,5,32,6000,1,111,2000,0.05,-0.07064938894379295,delta_ib.mean,-3.9737580715337564,-0.05112031104129526,-0.019529077902497693
arnold_cat-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-665f795e0f34,OK,13.702,3,5,32,9000,1,111,2000,0.05,-0.07064938894379295,delta_ib.mean,-3.9737580715337564,-0.05873948122190114,-0.011909907721891815
arnold_cat-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-5b9e6b5255ed,OK,16.318,4,5,32,6000,1,111,2000,0.05,-0.019044876878221827,delta_ib.mean,-0.5159121006533721,-0.061758977736050893,0.04271410085782906
arnold_cat-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-1ff6ef48201c,OK,13.668,4,5,32,9000,1,111,2000,0.05,-0.019044876878221827,delta_ib.mean,-0.5159121006533721,-0.05974537876343788,0.04070050188521605
arnold_cat-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-d747c54e70e0,OK,14.128,3,5,32,6000,1,333,2000,0.05,-0.07064938894379295,delta_ib.mean,-3.9737580715337564,-0.052987718495023324,-0.01766167044876963
arnold_cat-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-713f5ef7caf8,OK,15.143,3,5,32,9000,1,333,2000,0.05,-0.07064938894379295,delta_ib.mean,-3.9737580715337564,-0.04245599885027454,-0.028193390093518414
arnold_cat-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-e1b6e93e721c,OK,13.588,4,5,32,6000,1,333,2000,0.05,-0.019044876878221827,delta_ib.mean,-0.5159121006533721,-0.029661954344530627,0.0106170774663088
arnold_cat-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-73325f5a9300,OK,13.405,4,5,32,9000,1,333,2000,0.05,-0.019044876878221827,delta_ib.mean,-0.5159121006533721,-0.016442056069173247,-0.0026028208090485803
arnold_cat-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-298eba2ce860,OK,6.754,3,5,32,6000,2,111,2000,0.05,-0.003646046249474855,delta_ib.mean,0.5159121006533721,-0.0046939026297724284,0.0010478563802975736
arnold_cat-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-dc3d309f5018,OK,6.612,3,5,32,9000,2,111,2000,0.05,-0.003646046249474855,delta_ib.mean,0.5159121006533721,0.003896163225771486,-0.007542209475246341
arnold_cat-n4-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-0f33bde70b36,OK,8.881,4,5,32,6000,2,111,2000,0.05,0.0020525205553647316,delta_ib.mean,0.8977540264305108,0.008095114083047923,-0.006042593527683191
arnold_cat-n4-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-7a5b5eac21bc,OK,6.571,4,5,32,9000,2,111,2000,0.05,0.0020525205553647316,delta_ib.mean,0.8977540264305108,0.007300227959961339,-0.005247707404596607
arnold_cat-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-9f77cd1446b8,OK,6.413,3,5,32,6000,2,333,2000,0.05,-0.003646046249474855,delta_ib.mean,0.5159121006533721,0.0016256036768913032,-0.005271649926366158
arnold_cat-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-a1391726183f,OK,6.677,3,5,32,9000,2,333,2000,0.05,-0.003646046249474855,delta_ib.mean,0.5159121006533721,-0.0081142170123304,0.004468170762855546
arnold_cat-n4-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-b44593f74157,OK,6.61,4,5,32,6000,2,333,2000,0.05,0.0020525205553647316,delta_ib.mean,0.8977540264305108,-0.020521169631457344,0.022573690186822076
arnold_cat-n4-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-e48699495463,OK,6.62,4,5,32,9000,2,333,2000,0.05,0.0020525205553647316,delta_ib.mean,0.8977540264305108,-0.03381434668036788,0.03586686723573261
arnold_cat-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-dd12f1d9834b,OK,13.706,3,5,64,6000,1,111,2000,0.05,-0.07135067467493027,delta_ib.mean,-4.0207488857627105,-0.04608563103847656,-0.02526504363645371
