tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
hamiltonian-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-9394bcfa23ae,OK,5.418,3,5,32,6000,1,111,2000,0.05,0.00492678337217364,delta_ib.mean,-0.3569540699059206,0.003771513356630316,0.0011552700155433235
hamiltonian-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-381448d6984a,OK,5.431,3,5,32,9000,1,111,2000,0.05,0.00492678337217364,delta_ib.mean,-0.3569540699059206,0.00366646696494791,0.0012603164072257297
hamiltonian-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-8291c8a4956b,OK,5.389,4,5,32,6000,1,111,2000,0.05,0.002437887450380618,delta_ib.mean,-2.0597473428848994,0.003575726456987365,-0.0011378390066067471
hamiltonian-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-2b52e8fcea01,OK,5.54,4,5,32,9000,1,111,2000,0.05,0.002437887450380618,delta_ib.mean,-2.0597473428848994,0.0034999521421794156,-0.0010620646917987977
hamiltonian-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-c1b4d71d4fd9,OK,5.761,3,5,32,6000,1,333,2000,0.05,0.00492678337217364,delta_ib.mean,-0.3569540699059206,0.0034396954224921515,0.0014870879496814882
hamiltonian-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-b96474144baa,OK,5.621,3,5,32,9000,1,333,2000,0.05,0.00492678337217364,delta_ib.mean,-0.3569540699059206,0.003395394779935083,0.0015313885922385567
hamiltonian-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-4f66f3aa1b84,OK,5.834,4,5,32,6000,1,333,2000,0.05,0.002437887450380618,delta_ib.mean,-2.0597473428848994,0.0033673725857702357,-0.0009294851353896178
hamiltonian-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-9dcf36ee13cb,OK,5.751,4,5,32,9000,1,333,2000,0.05,0.002437887450380618,delta_ib.mean,-2.0597473428848994,0.003355832754649319,-0.0009179453042687013
hamiltonian-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-ec1cc1f16d16,OK,5.476,3,5,32,6000,2,111,2000,0.05,0.00492678337217364,delta_ib.mean,-0.3569540699059206,0.0033608592607475888,0.001565924111426051
hamiltonian-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-00c70e5d7322,OK,5.467,3,5,32,9000,2,111,2000,0.05,0.00492678337217364,delta_ib.mean,-0.3569540699059206,0.003382415526692327,0.0015443678454813126
hamiltonian-n4-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-a4649c5f2aab,OK,5.651,4,5,32,6000,2,111,2000,0.05,0.002437887450380618,delta_ib.mean,-2.0597473428848994,0.003420344689732656,-0.0009824572393520381
hamiltonian-n4-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-b2654c3d3bad,OK,5.751,4,5,32,9000,2,111,2000,0.05,0.002437887450380618,delta_ib.mean,-2.0597473428848994,0.0034743707432137944,-0.0010364832928331765
