tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
henon-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-f44b88edd886,OK,30.419,3,5,32,6000,1,111,2000,0.05,-0.0066102350908539735,delta_ib.mean,-1.0546282725656497,0.0039244424007255415,-0.010534677491579516
henon-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-ef45b83ba11f,OK,30.84,3,5,32,9000,1,111,2000,0.05,-0.0066102350908539735,delta_ib.mean,-1.0546282725656497,0.0032979406999534785,-0.009908175790807452
henon-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-665234b06935,OK,31.162,4,5,32,6000,1,111,2000,0.05,-2.1334437452230194e-05,delta_ib.mean,-0.021343023710208388,0.0026135436708266324,-0.0026348781082788627
henon-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-d4eb5920bde8,OK,30.741,4,5,32,9000,1,111,2000,0.05,-2.1334437452230194e-05,delta_ib.mean,-0.021343023710208388,0.0018799384285853428,-0.0019012728660375731
henon-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-ebd81c27d6cf,OK,31.441,3,5,32,6000,1,333,2000,0.05,-0.0066102350908539735,delta_ib.mean,-1.0546282725656497,0.0011064366929026087,-0.007716671783756582
henon-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-a2bf8ca795d3,OK,30.436,3,5,32,9000,1,333,2000,0.05,-0.0066102350908539735,delta_ib.mean,-1.0546282725656497,0.0003028565933589258,-0.0069130916842128996
henon-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-da940895ae67,OK,31.203,4,5,32,6000,1,333,2000,0.05,-2.1334437452230194e-05,delta_ib.mean,-0.021343023710208388,-0.0005206019529910017,0.0004992675155387716
henon-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-2c1e7b43ad32,OK,31.144,4,5,32,9000,1,333,2000,0.05,-2.1334437452230194e-05,delta_ib.mean,-0.021343023710208388,-0.001353486710115549,0.0013321522726633186
henon-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-1abe4c43b509,OK,28.814,3,5,32,6000,2,111,2000,0.05,0.0002508596406603375,delta_ib.mean,0.021343023710208388,-0.0021852257942116915,0.002436085434872029
henon-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-eb3f9bfa2a5e,OK,29.103,3,5,32,9000,2,111,2000,0.05,0.0002508596406603375,delta_ib.mean,0.021343023710208388,-0.0030052618636108807,0.0032561215042712184
