tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
ising1d-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-de2cc86b208e,OK,172.891,3,5,32,6000,1,111,2000,0.05,0.0009341598679208113,delta_ib.mean,-0.9414230167736435,0.002830552141828261,-0.0018963922739074497
ising1d-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-7475593086ed,OK,173.953,3,5,32,9000,1,111,2000,0.05,0.0009341598679208113,delta_ib.mean,-0.9414230167736435,0.002606859411700422,-0.0016726995437796107
ising1d-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-1375458fc24d,OK,179.91,4,5,32,6000,1,111,2000,0.05,0.0008295705297784273,delta_ib.mean,-1.0553519615198352,0.0023897266479970644,-0.0015601561182186372
ising1d-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-14e7414f9310,OK,182.469,4,5,32,9000,1,111,2000,0.05,0.0008295705297784273,delta_ib.mean,-1.0553519615198352,0.002180070399754306,-0.001350499869975879
ising1d-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-1674973ef80a,OK,183.218,3,5,32,6000,1,333,2000,0.05,0.0009341598679208113,delta_ib.mean,-0.9414230167736435,0.001978775656547024,-0.0010446157886262128
ising1d-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-bc43c574e7b8,OK,180.204,3,5,32,9000,1,333,2000,0.05,0.0009341598679208113,delta_ib.mean,-0.9414230167736435,0.0017866921128189082,-0.0008525322448980968
ising1d-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-118b9a86711e,OK,176.905,4,5,32,6000,1,333,2000,0.05,0.0008295705297784273,delta_ib.mean,-1.0553519615198352,0.001604630581198392,-0.0007750600514199648
ising1d-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-8873c02a212e,OK,173.156,4,5,32,9000,1,333,2000,0.05,0.0008295705297784273,delta_ib.mean,-1.0553519615198352,0.001433359569940397,-0.0006037890401619696
ising1d-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-e9532dd87066,OK,177.852,3,5,32,6000,2,111,2000,0.05,0.0009311992253331764,delta_ib.mean,-0.9446480384801648,0.001273602038941008,-0.0003424028136078315
ising1d-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-4ff7fba1679a,OK,180.505,3,5,32,9000,2,111,2000,0.05,0.0009311992253331764,delta_ib.mean,-0.9446480384801648,0.0011260323480183918,-0.00019483312268521534
ising1d-n4-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-877ee690f337,OK,171.906,4,5,32,6000,2,111,2000,0.05,0.0006438281612884954,delta_ib.mean,-1.2576807305183328,0.0009912734103417436,-0.00034744524905324823
ising1d-n4-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-26d857e98707,OK,172.547,4,5,32,9000,2,111,2000,0.05,0.0006438281612884954,delta_ib.mean,-1.2576807305183328,0.0008698940630240317,-0.0002260659017355363
ising1d-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-b5ea68a7f59d,OK,175.46,3,5,32,6000,2,333,2000,0.05,0.0009311992253331764,delta_ib.mean,-0.9446480384801648,0.0007624066659776465,0.00016879255935552996
