tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
ising2d_fixed-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-a9d6030bb428,OK,32.072,3,5,32,6000,1,111,2000,0.05,-0.0004705311131184408,delta_ib.mean,-0.5423186425179347,0.006855135889439454,-0.007325667002557895
ising2d_fixed-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-1e52abf1566a,OK,32.212,3,5,32,9000,1,111,2000,0.05,-0.0004705311131184408,delta_ib.mean,-0.5423186425179347,0.006223209421524478,-0.006693740534642919
ising2d_fixed-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-dcd2b7c5607d,OK,33.778,4,5,32,6000,1,111,2000,0.05,0.0009864892483096542,delta_ib.mean,-0.1624933246548856,0.005611087161010876,-0.004624597912701222
ising2d_fixed-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-42574d09cf2d,OK,32.799,4,5,32,9000,1,111,2000,0.05,0.0009864892483096542,delta_ib.mean,-0.1624933246548856,0.005021169676828693,-0.0040346804285190385
ising2d_fixed-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-55b959215906,OK,33.345,3,5,32,6000,1,333,2000,0.05,-0.0004705311131184408,delta_ib.mean,-0.5423186425179347,0.004455770457107946,-0.004926301570226386
ising2d_fixed-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-f67941f21834,OK,33.515,3,5,32,9000,1,333,2000,0.05,-0.0004705311131184408,delta_ib.mean,-0.5423186425179347,0.00391710683633797,-0.004387637949456411
ising2d_fixed-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-814b973a08f7,OK,33.186,4,5,32,6000,1,333,2000,0.05,0.0009864892483096542,delta_ib.mean,-0.1624933246548856,0.0034072912996139498,-0.0024208020513042956
ising2d_fixed-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-520f1b42c48e,OK,33.324,4,5,32,9000,1,333,2000,0.05,0.0009864892483096542,delta_ib.mean,-0.1624933246548856,0.002928323198072841,-0.001941833949763187
ising2d_fixed-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-4b6af61876d1,OK,30.987,3,5,32,6000,2,111,2000,0.05,-0.0013691110903685955,delta_ib.mean,-0.7765661757163613,0.0024820809080084195,-0.003851191998377015
ising2d_fixed-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-897a68fe2261,OK,30.601,3,5,32,9000,2,111,2000,0.05,-0.0013691110903685955,delta_ib.mean,-0.7765661757163613,0.0020703144644151628,-0.0034394255547837583
ising2d_fixed-n4-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-72b80a1440da,OK,32.351,4,5,32,6000,2,111,2000,0.05,-0.002103936506299682,delta_ib.mean,-0.9681251302571942,0.0016946386978501145,-0.0037985752041497967
ising2d_fixed-n4-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-15d3aeb9c601,OK,31.791,4,5,32,9000,2,111,2000,0.05,-0.002103936506299682,delta_ib.mean,-0.9681251302571942,0.0013565269015279845,-0.0034604634078276666
ising2d_fixed-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-878fbdcd28e2,OK,31.721,3,5,32,6000,2,333,2000,0.05,-0.0013691110903685955,delta_ib.mean,-0.7765661757163613,0.0010573050534853287,-0.0024264161438539242
ising2d_fixed-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-b21207cd65c0,OK,31.855,3,5,32,9000,2,333,2000,0.05,-0.0013691110903685955,delta_ib.mean,-0.7765661757163613,0.0007981466164728741,-0.0021672577068414696
ising2d_fixed-n4-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-06177ca42ea9,OK,32.428,4,5,32,6000,2,333,2000,0.05,-0.002103936506299682,delta_ib.mean,-0.9681251302571942,0.000580067935969264,-0.002684004442268946
ising2d_fixed-n4-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-9671acd3149f,OK,32.306,4,5,32,9000,2,333,2000,0.05,-0.002103936506299682,delta_ib.mean,-0.9681251302571942,0.00040392425436395346,-0.0025078607606636356
ising2d_fixed-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-fa73feddd079,OK,43.732,3,5,64,6000,1,111,2000,0.05,0.018179090946582332,delta_ib.mean,4.319383235078756,0.00027040635694047625,0.017908684589641857
ising2d_fixed-n3-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-d52537db4d76,OK,44.748,3,5,64,9000,1,111,2000,0.05,0.018179090946582332,delta_ib.mean,4.319383235078756,0.00018003786281356633,0.017999053083768764
ising2d_fixed-n4-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-690b0b8c1682,OK,45.43,4,5,64,6000,1,111,2000,0.05,-0.0011744511083184874,delta_ib.mean,-0.7258209757763079,0.00013317317144432433,-0.0013076242797628117
ising2d_fixed-n4-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-ae0f9832e1db,OK,45.276,4,5,64,9000,1,111,2000,0.05,-0.0011744511083184874,delta_ib.mean,-0.7258209757763079,0.00012999607278661555,-0.001304447181105103
ising2d_fixed-n3-k5-cl64-ctx6000-s1-sd333-bs2000-a0p05-a1be2821634c,OK,45.36,3,5,64,6000,1,333,2000,0.05,0.018179090946582332,delta_ib.mean,4.319383235078756,0.00017051902651527354,0.018008571920067058
ising2d_fixed-n3-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-1c76497551ee,OK,45.362,3,5,64,9000,1,333,2000,0.05,0.018179090946582332,delta_ib.mean,4.319383235078756,0.0002545831131628151,0.017924507833419517
ising2d_fixed-n4-k5-cl64-ctx6000-s1-sd333-bs2000-a0p05-e38cb9243d29,OK,46.208,4,5,64,6000,1,333,2000,0.05,-0.0011744511083184874,delta_ib.mean,-0.7258209757763079,0.0003818586573562724,-0.0015563097656747598
ising2d_fixed-n4-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-57adaa037e71,OK,47.437,4,5,64,9000,1,333,2000,0.05,-0.0011744511083184874,delta_ib.mean,-0.7258209757763079,0.0005518465207099733,-0.0017262976290284607
ising2d_fixed-n3-k5-cl64-ctx6000-s2-sd111-bs2000-a0p05-6484fc697230,OK,42.634,3,5,64,6000,2,111,2000,0.05,0.013201175643543414,delta_ib.mean,3.021708671067247,0.0007638800593039469,0.012437295584239467
ising2d_fixed-n3-k5-cl64-ctx9000-s2-sd111-bs2000-a0p05-a6fd13465127,OK,43.914,3,5,64,9000,2,111,2000,0.05,0.013201175643543414,delta_ib.mean,3.021708671067247,0.0010171277380712478,0.012184047905472166
ising2d_fixed-n4-k5-cl64-ctx6000-s2-sd111-bs2000-a0p05-491f7f23ab94,OK,43.484,4,5,64,6000,2,111,2000,0.05,-0.0023484822595655655,delta_ib.mean,-1.031874869742806,0.0013105963918413344,-0.0036590786514069
ising2d_fixed-n4-k5-cl64-ctx9000-s2-sd111-bs2000-a0p05-7b23ac3025f0,OK,46.427,4,5,64,9000,2,111,2000,0.05,-0.0023484822595655655,delta_ib.mean,-1.031874869742806,0.0016431351202506276,-0.0039916173798161935
ising2d_fixed-n3-k5-cl64-ctx6000-s2-sd333-bs2000-a0p05-a6a3ac8c5366,OK,43.373,3,5,64,6000,2,333,2000,0.05,0.013201175643543414,delta_ib.mean,3.021708671067247,0.002013439801245494,0.01118773584229792
ising2d_fixed-n3-k5-cl64-ctx9000-s2-sd333-bs2000-a0p05-3acdd035b2c4,OK,43.819,3,5,64,9000,2,333,2000,0.05,0.013201175643543414,delta_ib.mean,3.021708671067247,0.002420058205477013,0.0107811174380664
ising2d_fixed-n4-k5-cl64-ctx6000-s2-sd333-bs2000-a0p05-fe755f084ae3,OK,46.062,4,5,64,6000,2,333,2000,0.05,-0.0023484822595655655,delta_ib.mean,-1.031874869742806,0.0028613956915303097,-0.005209877951095876
ising2d_fixed-n4-k5-cl64-ctx9000-s2-sd333-bs2000-a0p05-1e817e36573e,OK,40.314,4,5,64,9000,2,333,2000,0.05,-0.0023484822595655655,delta_ib.mean,-1.031874869742806,0.003335721459653402,-0.005684203719218968
ising2d_fixed-n3-k7-cl32-ctx6000-s1-sd111-bs2000-a0p05-f9e4cd6b2f9c,OK,31.64,3,7,32,6000,1,111,2000,0.05,0.0001485739275391435,delta_ib.mean,-0.3809264100662897,0.003841175339460194,-0.0036926014119210504
ising2d_fixed-n3-k7-cl32-ctx9000-s1-sd111-bs2000-a0p05-0a396246cc0b,OK,31.711,3,7,32,9000,1,111,2000,0.05,0.0001485739275391435,delta_ib.mean,-0.3809264100662897,0.004375775084988232,-0.004227201157449088
ising2d_fixed-n4-k7-cl32-ctx6000-s1-sd111-bs2000-a0p05-33ee5df0733a,OK,31.762,4,7,32,6000,1,111,2000,0.05,0.002233146969550236,delta_ib.mean,0.1624933246548856,0.004937424148502023,-0.002704277178951787
ising2d_fixed-n4-k7-cl32-ctx9000-s1-sd111-bs2000-a0p05-d4d29309c047,OK,31.583,4,7,32,9000,1,111,2000,0.05,0.002233146969550236,delta_ib.mean,0.1624933246548856,0.0055239199025553356,-0.0032907729330050994
ising2d_fixed-n3-k7-cl32-ctx6000-s1-sd333-bs2000-a0p05-6fd33404d21e,OK,32.009,3,7,32,6000,1,333,2000,0.05,0.0001485739275391435,delta_ib.mean,-0.3809264100662897,0.0061329622780678505,-0.005984388350528707
ising2d_fixed-n3-k7-cl32-ctx9000-s1-sd333-bs2000-a0p05-9e7163e28687,OK,32.078,3,7,32,9000,1,333,2000,0.05,0.0001485739275391435,delta_ib.mean,-0.3809264100662897,0.00676216278454012,-0.006613588857000976
ising2d_fixed-n4-k7-cl32-ctx6000-s1-sd333-bs2000-a0p05-e2fc24bc00e7,OK,34.931,4,7,32,6000,1,333,2000,0.05,0.002233146969550236,delta_ib.mean,0.1624933246548856,0.007409053877032135,-0.005175906907481899
ising2d_fixed-n4-k7-cl32-ctx9000-s1-sd333-bs2000-a0p05-87a53ab59b63,OK,33.431,4,7,32,9000,1,333,2000,0.05,0.002233146969550236,delta_ib.mean,0.1624933246548856,0.00807109863317081,-0.0058379516636205735
ising2d_fixed-n3-k7-cl32-ctx6000-s2-sd111-bs2000-a0p05-1914c11954de,OK,31.037,3,7,32,6000,2,111,2000,0.05,0.013232240591443931,delta_ib.mean,3.029806878905021,0.008745700702236028,0.004486539889207903
