tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
logistic-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-9e7a9bd4d90d,OK,8.998,3,5,32,6000,1,111,2000,0.05,-0.043167028581403394,delta_ib.mean,-2.800637133964443,-0.01986360849240916,-0.023303420088994234
logistic-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-184d250ab4d9,OK,8.741,3,5,32,9000,1,111,2000,0.05,-0.043167028581403394,delta_ib.mean,-2.800637133964443,-0.021033788285498886,-0.022133240295904508
logistic-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-8cd5c6d607b4,OK,8.695,4,5,32,6000,1,111,2000,0.05,-0.006457162497748694,delta_ib.mean,-0.10747536551808587,-0.022137059029486678,0.015679896531737986
logistic-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-368afa6de765,OK,8.823,4,5,32,9000,1,111,2000,0.05,-0.006457162497748694,delta_ib.mean,-0.10747536551808587,-0.023168421165793242,0.01671125866804455
logistic-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-59d07d272791,OK,8.691,3,5,32,6000,1,333,2000,0.05,-0.043167028581403394,delta_ib.mean,-2.800637133964443,-0.02412320099537865,-0.019043827586024745
logistic-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-872d1eeef3de,OK,9.131,3,5,32,9000,1,333,2000,0.05,-0.043167028581403394,delta_ib.mean,-2.800637133964443,-0.024997071857978986,-0.018169956723424408
logistic-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-17cef50b7a9e,OK,8.899,4,5,32,6000,1,333,2000,0.05,-0.006457162497748694,delta_ib.mean,-0.10747536551808587,-0.02578607373870929,0.019328911240960596
logistic-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-b51cbe29eaca,OK,9.127,4,5,32,9000,1,333,2000,0.05,-0.006457162497748694,delta_ib.mean,-0.10747536551808587,-0.026486631213184047,0.02002946871543535
logistic-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-07d3ad276f2c,OK,8.574,3,5,32,6000,2,111,2000,0.05,-0.043566695223441046,delta_ib.mean,-2.8299580505269364,-0.027095569649835345,-0.0164711255736057
logistic-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-16da85146c34,OK,8.671,3,5,32,9000,2,111,2000,0.05,-0.043566695223441046,delta_ib.mean,-2.8299580505269364,-0.027610129596006776,-0.01595656562743427
logistic-n4-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-5839a6113ea0,OK,8.648,4,5,32,6000,2,111,2000,0.05,-0.00368947824494006,delta_ib.mean,0.09557145028367744,-0.028027979282631257,0.024338501037691196
logistic-n4-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-cb22243f5bde,OK,8.79,4,5,32,9000,2,111,2000,0.05,-0.00368947824494006,delta_ib.mean,0.09557145028367744,-0.028347225190826855,0.024657746945886794
logistic-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-1670417cccf6,OK,8.835,3,5,32,6000,2,333,2000,0.05,-0.043566695223441046,delta_ib.mean,-2.8299580505269364,-0.028566420632527265,-0.01500027459091378
logistic-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-5adca243b1fa,OK,8.582,3,5,32,9000,2,333,2000,0.05,-0.043566695223441046,delta_ib.mean,-2.8299580505269364,-0.028684572306263135,-0.014882122917177911
logistic-n4-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-8b346e282ba8,OK,8.585,4,5,32,6000,2,333,2000,0.05,-0.00368947824494006,delta_ib.mean,0.09557145028367744,-0.028701144798386178,0.025011666553446117
logistic-n4-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-009d2e2ff41c,OK,8.777,4,5,32,9000,2,333,2000,0.05,-0.00368947824494006,delta_ib.mean,0.09557145028367744,-0.028616063009338444,0.024926584764398383
logistic-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-8b19185775b6,OK,8.758,3,5,64,6000,1,111,2000,0.05,-0.04896235388290516,delta_ib.mean,-3.225802088316152,-0.028429712493971897,-0.02053264138893326
logistic-n3-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-daebc01d146b,OK,8.676,3,5,64,9000,1,111,2000,0.05,-0.04896235388290516,delta_ib.mean,-3.225802088316152,-0.02814293771437613,-0.020819416168529028
logistic-n4-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-877d9c6dfe99,OK,8.88,4,5,64,6000,1,111,2000,0.05,-0.006294902978381461,delta_ib.mean,-0.09557145028367738,-0.027757038213131677,0.021462135234750216
logistic-n4-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-42b49729166e,OK,9.032,4,5,64,9000,1,111,2000,0.05,-0.006294902978381461,delta_ib.mean,-0.09557145028367738,-0.02727376272433006,0.0209788597459486
logistic-n3-k5-cl64-ctx6000-s1-sd333-bs2000-a0p05-f14baaa72568,OK,8.707,3,5,64,6000,1,333,2000,0.05,-0.04896235388290516,delta_ib.mean,-3.225802088316152,-0.026695301249047055,-0.022267052633858104
logistic-n3-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-6477eafb632b,OK,8.422,3,5,64,9000,1,333,2000,0.05,-0.04896235388290516,delta_ib.mean,-3.225802088316152,-0.026024275131179723,-0.022938078751725436
logistic-n4-k5-cl64-ctx6000-s1-sd333-bs2000-a0p05-bcf34ce4e37e,OK,8.729,4,5,64,6000,1,333,2000,0.05,-0.006294902978381461,delta_ib.mean,-0.09557145028367738,-0.025263725178619332,0.01896882220023787
logistic-n4-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-ccc26a89e871,OK,8.821,4,5,64,9000,1,333,2000,0.05,-0.006294902978381461,delta_ib.mean,-0.09557145028367738,-0.02441709788359005,0.01812219490520859
logistic-n3-k5-cl64-ctx6000-s2-sd111-bs2000-a0p05-398a061e6cf2,OK,8.813,3,5,64,6000,2,111,2000,0.05,-0.0463588133240336,delta_ib.mean,-3.034797417261948,-0.023488229804597055,-0.022870583519436542
logistic-n3-k5-cl64-ctx9000-s2-sd111-bs2000-a0p05-0f91a7e01ef6,OK,8.318,3,5,64,9000,2,111,2000,0.05,-0.0463588133240336,delta_ib.mean,-3.034797417261948,-0.02248133018075837,-0.023877483143275226
logistic-n4-k5-cl64-ctx6000-s2-sd111-bs2000-a0p05-11a7099884dd,OK,8.501,4,5,64,6000,2,111,2000,0.05,-0.000929932135280088,delta_ib.mean,0.2980212239729968,-0.02140096185730514,0.020471029722025053
