tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
lorenz63-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-78023bfb176c,OK,7.863,3,5,32,6000,1,111,2000,0.05,-0.03182089495590645,delta_ib.mean,0.7312557882365901,-0.02845258044508711,-0.0033683145108193355
lorenz63-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-844aa412a601,OK,7.347,3,5,32,9000,1,111,2000,0.05,-0.03182089495590645,delta_ib.mean,0.7312557882365901,-0.02763509427419809,-0.004185800681708356
lorenz63-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-da842748cdb3,OK,7.845,4,5,32,6000,1,111,2000,0.05,-0.012514860591304714,delta_ib.mean,1.8558640159248834,-0.02690211298147884,0.014387252390174127
lorenz63-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-9bfc193c0753,OK,7.609,4,5,32,9000,1,111,2000,0.05,-0.012514860591304714,delta_ib.mean,1.8558640159248834,-0.02625695812959243,0.013742097538287716
lorenz63-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-0aee36789bda,OK,7.617,3,5,32,6000,1,333,2000,0.05,-0.03182089495590645,delta_ib.mean,0.7312557882365901,-0.025702553288743463,-0.006118341667162984
lorenz63-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-cff42d3fc836,OK,7.649,3,5,32,9000,1,333,2000,0.05,-0.03182089495590645,delta_ib.mean,0.7312557882365901,-0.02524141078828861,-0.006579484167617836
lorenz63-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-2301e83cbfd3,OK,7.595,4,5,32,6000,1,333,2000,0.05,-0.012514860591304714,delta_ib.mean,1.8558640159248834,-0.024875620331917557,0.012360759740612843
lorenz63-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-3130c66c07df,OK,7.766,4,5,32,9000,1,333,2000,0.05,-0.012514860591304714,delta_ib.mean,1.8558640159248834,-0.02460683952799556,0.012091978936690844
lorenz63-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-05211c73a23e,OK,7.093,3,5,32,6000,2,111,2000,0.05,-0.030694331596051633,delta_ib.mean,0.7968799552497738,-0.024436286377980128,-0.006258045218071506
lorenz63-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-c75443002f7e,OK,7.179,3,5,32,9000,2,111,2000,0.05,-0.030694331596051633,delta_ib.mean,0.7968799552497738,-0.02436473375695114,-0.006329597839100493
