tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
rel_aberration-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-94badab82ed8,OK,103.085,3,5,32,6000,1,111,2000,0.05,0.03913707407784374,delta_ib.mean,-0.5539021711420804,0.27438350185202326,-0.23524642777417953
rel_aberration-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-55596d110f3c,OK,98.251,3,5,32,9000,1,111,2000,0.05,0.03913707407784374,delta_ib.mean,-0.5539021711420804,0.24068553765671388,-0.20154846357887013
rel_aberration-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-c2641258ea30,OK,100.987,4,5,32,6000,1,111,2000,0.05,0.09773072419292424,delta_ib.mean,0.26929331396270534,0.2081353986237488,-0.11040467443082456
rel_aberration-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-10233fddc00e,OK,101.052,4,5,32,9000,1,111,2000,0.05,0.09773072419292424,delta_ib.mean,0.26929331396270534,0.1768875236463161,-0.07915679945339187
rel_aberration-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-081b164a2352,OK,97.224,3,5,32,6000,1,333,2000,0.05,0.03913707407784374,delta_ib.mean,-0.5539021711420804,0.1470901728354126,-0.10795309875756885
rel_aberration-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-24c52310edf9,OK,103.123,3,5,32,9000,1,333,2000,0.05,0.03913707407784374,delta_ib.mean,-0.5539021711420804,0.11888472407807282,-0.07974765000022908
rel_aberration-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-37eca7212594,OK,100.158,4,5,32,6000,1,333,2000,0.05,0.09773072419292424,delta_ib.mean,0.26929331396270534,0.09240500224931608,0.005325721943608155
rel_aberration-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-a9eaad87fad7,OK,100.123,4,5,32,9000,1,333,2000,0.05,0.09773072419292424,delta_ib.mean,0.26929331396270534,0.06777664426046326,0.029954079932460978
rel_aberration-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-ef0fede5bf6a,OK,103.205,3,5,32,6000,2,111,2000,0.05,0.010864512601526181,delta_ib.mean,-0.951109802241035,0.04511650295644304,-0.034251990354916856
rel_aberration-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-e3d5faa3ccf0,OK,99.091,3,5,32,9000,2,111,2000,0.05,0.010864512601526181,delta_ib.mean,-0.951109802241035,0.02453209269038703,-0.01366758008886085
