tag,status,duration_s,n,k_ctx,ib_clusters,ib_max_contexts,stride,seed,bootstrap,alpha,metric,_metric_name,metric_robust_z,metric_fit,metric_resid
standard_map-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-3c5be84f18dd,OK,175.274,3,5,32,6000,1,111,2000,0.05,-0.006630896639851236,delta_ib.mean,1.474513356488869,-0.01186965289247939,0.005238756252628154
standard_map-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-a6c484ee87f9,OK,180.17,3,5,32,9000,1,111,2000,0.05,-0.006630896639851236,delta_ib.mean,1.474513356488869,-0.011796207829843725,0.0051653111899924884
standard_map-n4-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-f5b14785e960,OK,220.23,4,5,32,6000,1,111,2000,0.05,-0.0020226959006999375,delta_ib.mean,1.7970880975675116,-0.011754469526236124,0.009731773625536186
standard_map-n4-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-a559fa37a0cf,OK,218.06,4,5,32,9000,1,111,2000,0.05,-0.0020226959006999375,delta_ib.mean,1.7970880975675116,-0.011744518225187128,0.00972182232448719
standard_map-n3-k5-cl32-ctx6000-s1-sd222-bs2000-a0p05-ef4f2829f3f7,OK,165.228,3,5,32,6000,1,222,2000,0.05,-0.006630896639851236,delta_ib.mean,1.474513356488869,-0.011766373058464456,0.0051354764186132195
standard_map-n4-k5-cl32-ctx6000-s1-sd222-bs2000-a0p05-d53ab4c317f0,OK,164.827,4,5,32,6000,1,222,2000,0.05,-0.0020226959006999375,delta_ib.mean,1.7970880975675116,-0.011819992009291427,0.009797296108591489
standard_map-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-782cc4e9da66,OK,188.32,3,5,32,6000,1,333,2000,0.05,-0.006630896639851236,delta_ib.mean,1.474513356488869,-0.011905271993125879,0.005274375353274643
standard_map-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-8fdf6d0026f6,OK,213.699,3,5,32,9000,1,333,2000,0.05,-0.006630896639851236,delta_ib.mean,1.474513356488869,-0.012022049055844235,0.005391152415992999
standard_map-n4-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-5e9d2f3fb882,OK,214.391,4,5,32,6000,1,333,2000,0.05,-0.0020226959006999375,delta_ib.mean,1.7970880975675116,-0.012170098688949773,0.010147402788249835
standard_map-n4-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-455f2ac21285,OK,215.942,4,5,32,9000,1,333,2000,0.05,-0.0020226959006999375,delta_ib.mean,1.7970880975675116,-0.012349136261199031,0.010326440360499093
standard_map-n3-k5-cl32-ctx6000-s1-sd777-bs2000-a0p05-23d0c3aeca1e,OK,203.802,3,5,32,6000,1,777,2000,0.05,-0.006630896639851236,delta_ib.mean,1.474513356488869,-0.012558817565816578,0.0059279209259653414
standard_map-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-0bab71882134,OK,178.244,3,5,32,6000,2,111,2000,0.05,-0.02291290404620122,delta_ib.mean,0.3347704024284108,-0.012798739482246071,-0.01011416456395515
standard_map-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-58af5073e6c9,OK,180.257,3,5,32,9000,2,111,2000,0.05,-0.02291290404620122,delta_ib.mean,0.3347704024284108,-0.01306844075116539,-0.009844463295035832
standard_map-n4-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-9966b092702a,OK,216.707,4,5,32,6000,2,111,2000,0.05,-0.0024490723576302974,delta_ib.mean,1.7672416818009817,-0.013367402861275815,0.010918330503645518
standard_map-n4-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-3d33e8a0e1f3,OK,216.341,4,5,32,9000,2,111,2000,0.05,-0.0024490723576302974,delta_ib.mean,1.7672416818009817,-0.013695051046160428,0.01124597868853013
standard_map-n3-k5-cl32-ctx6000-s2-sd222-bs2000-a0p05-04cd314a64c7,OK,162.745,3,5,32,6000,2,222,2000,0.05,-0.02291290404620122,delta_ib.mean,0.3347704024284108,-0.01405075538929511,-0.008862148656906111
standard_map-n4-k5-cl32-ctx6000-s2-sd222-bs2000-a0p05-8eb221cf3986,OK,162.019,4,5,32,6000,2,222,2000,0.05,-0.0024490723576302974,delta_ib.mean,1.7672416818009817,-0.014433832035087885,0.011984759677457588
standard_map-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-8d6ad69fc085,OK,185.38,3,5,32,6000,2,333,2000,0.05,-0.02291290404620122,delta_ib.mean,0.3347704024284108,-0.014843544503618154,-0.008069359542583067
standard_map-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-59c247e6c36f,OK,214.714,3,5,32,9000,2,333,2000,0.05,-0.02291290404620122,delta_ib.mean,0.3347704024284108,-0.015279105106548362,-0.00763379893965286
standard_map-n4-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-12d62509e853,OK,216.001,4,5,32,6000,2,333,2000,0.05,-0.0024490723576302974,delta_ib.mean,1.7672416818009817,-0.015739676461485753,0.013290604103855456
standard_map-n4-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-35951b120eb0,OK,217.639,4,5,32,9000,2,333,2000,0.05,-0.0024490723576302974,delta_ib.mean,1.7672416818009817,-0.016224373101883023,0.013775300744252726
standard_map-n3-k5-cl32-ctx6000-s2-sd777-bs2000-a0p05-f8270bdf2eb5,OK,203.287,3,5,32,6000,2,777,2000,0.05,-0.02291290404620122,delta_ib.mean,0.3347704024284108,-0.016732263179382527,-0.006180640866818694
standard_map-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-c2dab150578b,OK,179.067,3,5,64,6000,1,111,2000,0.05,-0.03440798228825863,delta_ib.mean,-0.4698867940576347,-0.017262370255331456,-0.017145612032927172
standard_map-n3-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-6869c9c4364d,OK,181.473,3,5,64,9000,1,111,2000,0.05,-0.03440798228825863,delta_ib.mean,-0.4698867940576347,-0.01781367517802352,-0.01659430711023511
standard_map-n4-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-2e419809bdc2,OK,225.324,4,5,64,6000,1,111,2000,0.05,-0.008931747054889489,delta_ib.mean,1.3134534832533242,-0.018385118042058217,0.009453370987168728
standard_map-n4-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-5087850dee75,OK,228.121,4,5,64,9000,1,111,2000,0.05,-0.008931747054889489,delta_ib.mean,1.3134534832533242,-0.01897560022605064,0.01004385317116115
standard_map-n3-k5-cl64-ctx6000-s1-sd222-bs2000-a0p05-661ce9c84621,OK,167.049,3,5,64,6000,1,222,2000,0.05,-0.03440798228825863,delta_ib.mean,-0.4698867940576347,-0.01958398650477433,-0.014823995783484298
standard_map-n4-k5-cl64-ctx6000-s1-sd222-bs2000-a0p05-aa4f80711f95,OK,168.392,4,5,64,6000,1,222,2000,0.05,-0.008931747054889489,delta_ib.mean,1.3134534832533242,-0.020209107231676397,0.011277360176786908
standard_map-n3-k5-cl64-ctx6000-s1-sd333-bs2000-a0p05-f556226d2227,OK,189.422,3,5,64,6000,1,333,2000,0.05,-0.03440798228825863,delta_ib.mean,-0.4698867940576347,-0.020849760587569058,-0.013558221700689571
standard_map-n3-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-4ef1e99381d3,OK,221.154,3,5,64,9000,1,333,2000,0.05,-0.03440798228825863,delta_ib.mean,-0.4698867940576347,-0.02150471489117429,-0.01290326739708434
standard_map-n4-k5-cl64-ctx6000-s1-sd333-bs2000-a0p05-fed57e229b5f,OK,228.087,4,5,64,6000,1,333,2000,0.05,-0.008931747054889489,delta_ib.mean,1.3134534832533242,-0.022172710967079533,0.013240963912190044
standard_map-n4-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-7dbe507cf309,OK,236.396,4,5,64,9000,1,333,2000,0.05,-0.008931747054889489,delta_ib.mean,1.3134534832533242,-0.022852464566551964,0.013920717511662475
standard_map-n3-k5-cl64-ctx6000-s1-sd777-bs2000-a0p05-0e1cfb2b88ce,RC3221225786,17.703,3,5,64,6000,1,777,2000,0.05,-0.03440798228825863,delta_ib.mean,-0.4698867940576347,-0.02354266883655718,-0.010865313451701449
standard_map-n3-k5-cl64-ctx6000-s2-sd111-bs2000-a0p05-fdd68dd2cb94,OK,180.067,3,5,64,6000,2,111,2000,0.05,-0.06169548544648099,delta_ib.mean,-2.3800160970548285,-0.02424199683223561,-0.037453488614245384
standard_map-n3-k5-cl64-ctx9000-s2-sd111-bs2000-a0p05-5ee3955fd1ea,OK,182.696,3,5,64,9000,2,111,2000,0.05,-0.06169548544648099,delta_ib.mean,-2.3800160970548285,-0.024949104068006156,-0.036746381378474836
standard_map-n4-k5-cl64-ctx6000-s2-sd111-bs2000-a0p05-47794a99bbae,OK,222.245,4,5,64,6000,2,111,2000,0.05,-0.021052133411128434,delta_ib.mean,0.4650246252350962,-0.025662631102392638,0.004610497691264204
standard_map-n4-k5-cl64-ctx9000-s2-sd111-bs2000-a0p05-329520dca0a9,OK,224.711,4,5,64,9000,2,111,2000,0.05,-0.021052133411128434,delta_ib.mean,0.4650246252350962,-0.026381206151603494,0.00532907274047506
standard_map-n3-k5-cl64-ctx6000-s2-sd222-bs2000-a0p05-f42ab33f42dd,OK,165.193,3,5,64,6000,2,222,2000,0.05,-0.06169548544648099,delta_ib.mean,-2.3800160970548285,-0.0271034477268401,-0.034592037719640895
standard_map-n4-k5-cl64-ctx6000-s2-sd222-bs2000-a0p05-4a5e9c364729,OK,167.601,4,5,64,6000,2,222,2000,0.05,-0.021052133411128434,delta_ib.mean,0.4650246252350962,-0.027827967290263326,0.006775833879134892
standard_map-n3-k5-cl64-ctx6000-s2-sd333-bs2000-a0p05-af923d0e343c,OK,189.824,3,5,64,6000,2,333,2000,0.05,-0.06169548544648099,delta_ib.mean,-2.3800160970548285,-0.02855337192451212,-0.03314211352196887
standard_map-n3-k5-cl64-ctx9000-s2-sd333-bs2000-a0p05-72e1d3adf62a,OK,216.792,3,5,64,9000,2,333,2000,0.05,-0.06169548544648099,delta_ib.mean,-2.3800160970548285,-0.029278267010641956,-0.032417218435839036
standard_map-n4-k5-cl64-ctx6000-s2-sd333-bs2000-a0p05-ece0f11e4620,OK,225.034,4,5,64,6000,2,333,2000,0.05,-0.021052133411128434,delta_ib.mean,0.4650246252350962,-0.03000125890933463,0.008949125498206197
standard_map-n4-k5-cl64-ctx9000-s2-sd333-bs2000-a0p05-b11e3c9d4178,OK,236.923,4,5,64,9000,2,333,2000,0.05,-0.021052133411128434,delta_ib.mean,0.4650246252350962,-0.030720957640224644,0.00966882422909621
standard_map-n3-k5-cl64-ctx6000-s2-sd777-bs2000-a0p05-d5c96ea86c8f,RC3221225786,17.628,3,5,64,6000,2,777,2000,0.05,-0.06169548544648099,delta_ib.mean,-2.3800160970548285,-0.03143597955419113,-0.03025950589228986
standard_map-n3-k7-cl32-ctx6000-s1-sd111-bs2000-a0p05-4880fbfdd680,OK,177.309,3,7,32,6000,1,111,2000,0.05,-0.036294118850296514,delta_ib.mean,-0.6019166355463511,-0.032144949993477744,-0.00414916885681877
standard_map-n3-k7-cl32-ctx9000-s1-sd111-bs2000-a0p05-ccabdd7334cd,OK,179.513,3,7,32,9000,1,111,2000,0.05,-0.036294118850296514,delta_ib.mean,-0.6019166355463511,-0.03284650593452624,-0.003447612915770275
standard_map-n4-k7-cl32-ctx6000-s1-sd111-bs2000-a0p05-f26a543908a6,OK,221.148,4,7,32,6000,1,111,2000,0.05,-0.02249613200096931,delta_ib.mean,0.3639445079393309,-0.03353929860844293,0.01104316660747362
standard_map-n4-k7-cl32-ctx9000-s1-sd111-bs2000-a0p05-85ec09e2ceec,OK,223.151,4,7,32,9000,1,111,2000,0.05,-0.02249613200096931,delta_ib.mean,0.3639445079393309,-0.03422199609405988,0.011725864093090572
