cmd,duration_s,model,returncode,run_id,status,tag
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ham\ham_train.txt --holdout C:\omega\omega\corpora\ham\ham_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 6000 --stride 1 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\hamiltonian\hamiltonian-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-9394bcfa23ae\hamiltonian-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-9394bcfa23ae.json,4.661,hamiltonian,0,9394bcfa23ae,OK,hamiltonian-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-9394bcfa23ae
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ham\ham_train.txt --holdout C:\omega\omega\corpora\ham\ham_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 9000 --stride 1 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\hamiltonian\hamiltonian-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-381448d6984a\hamiltonian-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-381448d6984a.json,4.901,hamiltonian,0,381448d6984a,OK,hamiltonian-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-381448d6984a
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ham\ham_train.txt --holdout C:\omega\omega\corpora\ham\ham_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 6000 --stride 1 --seed 333 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\hamiltonian\hamiltonian-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-c1b4d71d4fd9\hamiltonian-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-c1b4d71d4fd9.json,4.649,hamiltonian,0,c1b4d71d4fd9,OK,hamiltonian-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-c1b4d71d4fd9
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ham\ham_train.txt --holdout C:\omega\omega\corpora\ham\ham_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 9000 --stride 1 --seed 333 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\hamiltonian\hamiltonian-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-b96474144baa\hamiltonian-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-b96474144baa.json,4.632,hamiltonian,0,b96474144baa,OK,hamiltonian-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-b96474144baa
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ham\ham_train.txt --holdout C:\omega\omega\corpora\ham\ham_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 6000 --stride 2 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\hamiltonian\hamiltonian-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-ec1cc1f16d16\hamiltonian-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-ec1cc1f16d16.json,4.53,hamiltonian,0,ec1cc1f16d16,OK,hamiltonian-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-ec1cc1f16d16
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ham\ham_train.txt --holdout C:\omega\omega\corpora\ham\ham_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 9000 --stride 2 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\hamiltonian\hamiltonian-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-00c70e5d7322\hamiltonian-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-00c70e5d7322.json,4.878,hamiltonian,0,00c70e5d7322,OK,hamiltonian-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-00c70e5d7322
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ham\ham_train.txt --holdout C:\omega\omega\corpora\ham\ham_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 6000 --stride 2 --seed 333 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\hamiltonian\hamiltonian-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-e42c85cb79a2\hamiltonian-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-e42c85cb79a2.json,4.887,hamiltonian,0,e42c85cb79a2,OK,hamiltonian-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-e42c85cb79a2
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ham\ham_train.txt --holdout C:\omega\omega\corpora\ham\ham_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 9000 --stride 2 --seed 333 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\hamiltonian\hamiltonian-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-1fbda762a176\hamiltonian-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-1fbda762a176.json,4.415,hamiltonian,0,1fbda762a176,OK,hamiltonian-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-1fbda762a176
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ham\ham_train.txt --holdout C:\omega\omega\corpora\ham\ham_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 64 --ib-max-contexts 6000 --stride 1 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\hamiltonian\hamiltonian-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-5a93df74c13e\hamiltonian-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-5a93df74c13e.json,4.978,hamiltonian,0,5a93df74c13e,OK,hamiltonian-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-5a93df74c13e
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ham\ham_train.txt --holdout C:\omega\omega\corpora\ham\ham_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 64 --ib-max-contexts 9000 --stride 1 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\hamiltonian\hamiltonian-n3-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-71390d62e918\hamiltonian-n3-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-71390d62e918.json,4.473,hamiltonian,0,71390d62e918,OK,hamiltonian-n3-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-71390d62e918
