cmd,duration_s,model,returncode,run_id,status,tag
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_train.txt --holdout C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 6000 --stride 1 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\henon\henon-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-f44b88edd886\henon-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-f44b88edd886.json,30.419,henon,0,f44b88edd886,OK,henon-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-f44b88edd886
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_train.txt --holdout C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 9000 --stride 1 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\henon\henon-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-ef45b83ba11f\henon-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-ef45b83ba11f.json,30.84,henon,0,ef45b83ba11f,OK,henon-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-ef45b83ba11f
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_train.txt --holdout C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 6000 --stride 1 --seed 333 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\henon\henon-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-ebd81c27d6cf\henon-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-ebd81c27d6cf.json,31.441,henon,0,ebd81c27d6cf,OK,henon-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-ebd81c27d6cf
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_train.txt --holdout C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 9000 --stride 1 --seed 333 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\henon\henon-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-a2bf8ca795d3\henon-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-a2bf8ca795d3.json,30.436,henon,0,a2bf8ca795d3,OK,henon-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-a2bf8ca795d3
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_train.txt --holdout C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 6000 --stride 2 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\henon\henon-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-1abe4c43b509\henon-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-1abe4c43b509.json,28.814,henon,0,1abe4c43b509,OK,henon-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-1abe4c43b509
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_train.txt --holdout C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 9000 --stride 2 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\henon\henon-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-eb3f9bfa2a5e\henon-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-eb3f9bfa2a5e.json,29.103,henon,0,eb3f9bfa2a5e,OK,henon-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-eb3f9bfa2a5e
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_train.txt --holdout C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 6000 --stride 2 --seed 333 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\henon\henon-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-61cb080a9cce\henon-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-61cb080a9cce.json,29.3,henon,0,61cb080a9cce,OK,henon-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-61cb080a9cce
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_train.txt --holdout C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 9000 --stride 2 --seed 333 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\henon\henon-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-b05befdfd4ee\henon-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-b05befdfd4ee.json,28.451,henon,0,b05befdfd4ee,OK,henon-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-b05befdfd4ee
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_train.txt --holdout C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 64 --ib-max-contexts 6000 --stride 1 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\henon\henon-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-a3cbcd2aef59\henon-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-a3cbcd2aef59.json,34.423,henon,0,a3cbcd2aef59,OK,henon-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-a3cbcd2aef59
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_train.txt --holdout C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 64 --ib-max-contexts 9000 --stride 1 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\henon\henon-n3-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-e0986cff122c\henon-n3-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-e0986cff122c.json,33.58,henon,0,e0986cff122c,OK,henon-n3-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-e0986cff122c
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_train.txt --holdout C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 64 --ib-max-contexts 6000 --stride 1 --seed 333 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\henon\henon-n3-k5-cl64-ctx6000-s1-sd333-bs2000-a0p05-c99062f3ddee\henon-n3-k5-cl64-ctx6000-s1-sd333-bs2000-a0p05-c99062f3ddee.json,34.418,henon,0,c99062f3ddee,OK,henon-n3-k5-cl64-ctx6000-s1-sd333-bs2000-a0p05-c99062f3ddee
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_train.txt --holdout C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 64 --ib-max-contexts 9000 --stride 1 --seed 333 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\henon\henon-n3-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-d2e31e0b1a19\henon-n3-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-d2e31e0b1a19.json,35.45,henon,0,d2e31e0b1a19,OK,henon-n3-k5-cl64-ctx9000-s1-sd333-bs2000-a0p05-d2e31e0b1a19
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_train.txt --holdout C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 64 --ib-max-contexts 6000 --stride 2 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\henon\henon-n3-k5-cl64-ctx6000-s2-sd111-bs2000-a0p05-595b0458e8ea\henon-n3-k5-cl64-ctx6000-s2-sd111-bs2000-a0p05-595b0458e8ea.json,29.36,henon,0,595b0458e8ea,OK,henon-n3-k5-cl64-ctx6000-s2-sd111-bs2000-a0p05-595b0458e8ea
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_train.txt --holdout C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 64 --ib-max-contexts 9000 --stride 2 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\henon\henon-n3-k5-cl64-ctx9000-s2-sd111-bs2000-a0p05-c6a0ae0b91cf\henon-n3-k5-cl64-ctx9000-s2-sd111-bs2000-a0p05-c6a0ae0b91cf.json,28.932,henon,0,c6a0ae0b91cf,OK,henon-n3-k5-cl64-ctx9000-s2-sd111-bs2000-a0p05-c6a0ae0b91cf
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_train.txt --holdout C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 64 --ib-max-contexts 6000 --stride 2 --seed 333 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\henon\henon-n3-k5-cl64-ctx6000-s2-sd333-bs2000-a0p05-9a4f7b17bc1b\henon-n3-k5-cl64-ctx6000-s2-sd333-bs2000-a0p05-9a4f7b17bc1b.json,29.92,henon,0,9a4f7b17bc1b,OK,henon-n3-k5-cl64-ctx6000-s2-sd333-bs2000-a0p05-9a4f7b17bc1b
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_train.txt --holdout C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 64 --ib-max-contexts 9000 --stride 2 --seed 333 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\henon\henon-n3-k5-cl64-ctx9000-s2-sd333-bs2000-a0p05-1fca9524b5eb\henon-n3-k5-cl64-ctx9000-s2-sd333-bs2000-a0p05-1fca9524b5eb.json,28.713,henon,0,1fca9524b5eb,OK,henon-n3-k5-cl64-ctx9000-s2-sd333-bs2000-a0p05-1fca9524b5eb
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_train.txt --holdout C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_tail.txt --mode words --label-mode ib --n 3 --k_ctx 7 --ib-clusters 32 --ib-max-contexts 6000 --stride 1 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\henon\henon-n3-k7-cl32-ctx6000-s1-sd111-bs2000-a0p05-6644a575a4c2\henon-n3-k7-cl32-ctx6000-s1-sd111-bs2000-a0p05-6644a575a4c2.json,30.988,henon,0,6644a575a4c2,OK,henon-n3-k7-cl32-ctx6000-s1-sd111-bs2000-a0p05-6644a575a4c2
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_train.txt --holdout C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_tail.txt --mode words --label-mode ib --n 3 --k_ctx 7 --ib-clusters 32 --ib-max-contexts 9000 --stride 1 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\henon\henon-n3-k7-cl32-ctx9000-s1-sd111-bs2000-a0p05-60a83ad91956\henon-n3-k7-cl32-ctx9000-s1-sd111-bs2000-a0p05-60a83ad91956.json,31.567,henon,0,60a83ad91956,OK,henon-n3-k7-cl32-ctx9000-s1-sd111-bs2000-a0p05-60a83ad91956
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_train.txt --holdout C:\omega\omega\corpora\henon_a14_b03\henon_a14_b03_tail.txt --mode words --label-mode ib --n 3 --k_ctx 7 --ib-clusters 32 --ib-max-contexts 6000 --stride 1 --seed 333 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\henon\henon-n3-k7-cl32-ctx6000-s1-sd333-bs2000-a0p05-6bcb7ddd9209\henon-n3-k7-cl32-ctx6000-s1-sd333-bs2000-a0p05-6bcb7ddd9209.json,31.592,henon,0,6bcb7ddd9209,OK,henon-n3-k7-cl32-ctx6000-s1-sd333-bs2000-a0p05-6bcb7ddd9209
