cmd,duration_s,model,returncode,run_id,status,tag
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ising2d_T2269_L64\ising2d_T2269_L64_train.txt --holdout C:\omega\omega\corpora\ising2d_T2269_L64\ising2d_T2269_L64_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 6000 --stride 1 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\ising2d_fixed\ising2d_fixed-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-a9d6030bb428\ising2d_fixed-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-a9d6030bb428.json,32.072,ising2d_fixed,0,a9d6030bb428,OK,ising2d_fixed-n3-k5-cl32-ctx6000-s1-sd111-bs2000-a0p05-a9d6030bb428
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ising2d_T2269_L64\ising2d_T2269_L64_train.txt --holdout C:\omega\omega\corpora\ising2d_T2269_L64\ising2d_T2269_L64_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 9000 --stride 1 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\ising2d_fixed\ising2d_fixed-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-1e52abf1566a\ising2d_fixed-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-1e52abf1566a.json,32.212,ising2d_fixed,0,1e52abf1566a,OK,ising2d_fixed-n3-k5-cl32-ctx9000-s1-sd111-bs2000-a0p05-1e52abf1566a
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ising2d_T2269_L64\ising2d_T2269_L64_train.txt --holdout C:\omega\omega\corpora\ising2d_T2269_L64\ising2d_T2269_L64_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 6000 --stride 1 --seed 333 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\ising2d_fixed\ising2d_fixed-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-55b959215906\ising2d_fixed-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-55b959215906.json,33.345,ising2d_fixed,0,55b959215906,OK,ising2d_fixed-n3-k5-cl32-ctx6000-s1-sd333-bs2000-a0p05-55b959215906
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ising2d_T2269_L64\ising2d_T2269_L64_train.txt --holdout C:\omega\omega\corpora\ising2d_T2269_L64\ising2d_T2269_L64_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 9000 --stride 1 --seed 333 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\ising2d_fixed\ising2d_fixed-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-f67941f21834\ising2d_fixed-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-f67941f21834.json,33.515,ising2d_fixed,0,f67941f21834,OK,ising2d_fixed-n3-k5-cl32-ctx9000-s1-sd333-bs2000-a0p05-f67941f21834
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ising2d_T2269_L64\ising2d_T2269_L64_train.txt --holdout C:\omega\omega\corpora\ising2d_T2269_L64\ising2d_T2269_L64_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 6000 --stride 2 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\ising2d_fixed\ising2d_fixed-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-4b6af61876d1\ising2d_fixed-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-4b6af61876d1.json,30.987,ising2d_fixed,0,4b6af61876d1,OK,ising2d_fixed-n3-k5-cl32-ctx6000-s2-sd111-bs2000-a0p05-4b6af61876d1
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ising2d_T2269_L64\ising2d_T2269_L64_train.txt --holdout C:\omega\omega\corpora\ising2d_T2269_L64\ising2d_T2269_L64_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 9000 --stride 2 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\ising2d_fixed\ising2d_fixed-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-897a68fe2261\ising2d_fixed-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-897a68fe2261.json,30.601,ising2d_fixed,0,897a68fe2261,OK,ising2d_fixed-n3-k5-cl32-ctx9000-s2-sd111-bs2000-a0p05-897a68fe2261
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ising2d_T2269_L64\ising2d_T2269_L64_train.txt --holdout C:\omega\omega\corpora\ising2d_T2269_L64\ising2d_T2269_L64_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 6000 --stride 2 --seed 333 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\ising2d_fixed\ising2d_fixed-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-878fbdcd28e2\ising2d_fixed-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-878fbdcd28e2.json,31.721,ising2d_fixed,0,878fbdcd28e2,OK,ising2d_fixed-n3-k5-cl32-ctx6000-s2-sd333-bs2000-a0p05-878fbdcd28e2
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ising2d_T2269_L64\ising2d_T2269_L64_train.txt --holdout C:\omega\omega\corpora\ising2d_T2269_L64\ising2d_T2269_L64_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 32 --ib-max-contexts 9000 --stride 2 --seed 333 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\ising2d_fixed\ising2d_fixed-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-b21207cd65c0\ising2d_fixed-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-b21207cd65c0.json,31.855,ising2d_fixed,0,b21207cd65c0,OK,ising2d_fixed-n3-k5-cl32-ctx9000-s2-sd333-bs2000-a0p05-b21207cd65c0
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ising2d_T2269_L64\ising2d_T2269_L64_train.txt --holdout C:\omega\omega\corpora\ising2d_T2269_L64\ising2d_T2269_L64_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 64 --ib-max-contexts 6000 --stride 1 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\ising2d_fixed\ising2d_fixed-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-fa73feddd079\ising2d_fixed-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-fa73feddd079.json,43.732,ising2d_fixed,0,fa73feddd079,OK,ising2d_fixed-n3-k5-cl64-ctx6000-s1-sd111-bs2000-a0p05-fa73feddd079
C:\Users\KOMFIG\anaconda3\python.exe -m cli analyze-cond --train C:\omega\omega\corpora\ising2d_T2269_L64\ising2d_T2269_L64_train.txt --holdout C:\omega\omega\corpora\ising2d_T2269_L64\ising2d_T2269_L64_tail.txt --mode words --label-mode ib --n 3 --k_ctx 5 --ib-clusters 64 --ib-max-contexts 9000 --stride 1 --seed 111 --bootstrap 2000 --alpha 0.05 --out-json C:\omega\omega\runs\ising2d_fixed\ising2d_fixed-n3-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-d52537db4d76\ising2d_fixed-n3-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-d52537db4d76.json,44.748,ising2d_fixed,0,d52537db4d76,OK,ising2d_fixed-n3-k5-cl64-ctx9000-s1-sd111-bs2000-a0p05-d52537db4d76
